category,constraint,target,related,unrelated,isolated_context,related_context,unrelated_context
open_class,low,account,checking,now,[CLS] the airline could n't [MASK] for the pet and the stones were furious . [SEP],[CLS] the next word is checking. the airline could n't [MASK] for the pet and the stones were furious . [SEP],[CLS] the next word is now. the airline could n't [MASK] for the pet and the stones were furious . [SEP]
open_class,low,ache,stomach,reflection,[CLS] he threw up constantly and had a stomach [MASK] . [SEP],[CLS] the next word is stomach. he threw up constantly and had a stomach [MASK] . [SEP],[CLS] the next word is reflection. he threw up constantly and had a stomach [MASK] . [SEP]
open_class,high,ache,stomach,reflection,[CLS] one day he got a tummy [MASK] from the grease . [SEP],[CLS] the next word is stomach. one day he got a tummy [MASK] from the grease . [SEP],[CLS] the next word is reflection. one day he got a tummy [MASK] from the grease . [SEP]
open_class,low,achieve,goal,girl,[CLS] mike was able to [MASK] a healthy weight . [SEP],[CLS] the next word is goal. mike was able to [MASK] a healthy weight . [SEP],[CLS] the next word is girl. mike was able to [MASK] a healthy weight . [SEP]
open_class,high,achieve,goal,girl,[CLS] he decided to move to california to [MASK] his dreams . [SEP],[CLS] the next word is goal. he decided to move to california to [MASK] his dreams . [SEP],[CLS] the next word is girl. he decided to move to california to [MASK] his dreams . [SEP]
open_class,low,act,perform,frisk,[CLS] the children began to [MASK] in a hyper manner . [SEP],[CLS] the next word is perform. the children began to [MASK] in a hyper manner . [SEP],[CLS] the next word is frisk. the children began to [MASK] in a hyper manner . [SEP]
open_class,high,act,perform,frisk,[CLS] they were happily until the teacher started to [MASK] serious . [SEP],[CLS] the next word is perform. they were happily until the teacher started to [MASK] serious . [SEP],[CLS] the next word is frisk. they were happily until the teacher started to [MASK] serious . [SEP]
open_class,high,action,reaction,dip,"[CLS] john relaxed , enjoying his chinese food and [MASK] movies . [SEP]","[CLS] the next word is reaction. john relaxed , enjoying his chinese food and [MASK] movies . [SEP]","[CLS] the next word is dip. john relaxed , enjoying his chinese food and [MASK] movies . [SEP]"
open_class,low,action,reaction,dip,[CLS] randy and juan were watching an [MASK] . [SEP],[CLS] the next word is reaction. randy and juan were watching an [MASK] . [SEP],[CLS] the next word is dip. randy and juan were watching an [MASK] . [SEP]
open_class,low,active,hyper,disperse,[CLS] jason was a very [MASK] man who loved skiing . [SEP],[CLS] the next word is hyper. jason was a very [MASK] man who loved skiing . [SEP],[CLS] the next word is disperse. jason was a very [MASK] man who loved skiing . [SEP]
open_class,high,active,hyper,disperse,[CLS] carrie was in [MASK] labor . [SEP],[CLS] the next word is hyper. carrie was in [MASK] labor . [SEP],[CLS] the next word is disperse. carrie was in [MASK] labor . [SEP]
open_class,low,actor,actress,coast,[CLS] lenny is an [MASK] . [SEP],[CLS] the next word is actress. lenny is an [MASK] . [SEP],[CLS] the next word is coast. lenny is an [MASK] . [SEP]
open_class,high,actor,actress,coast,[CLS] anita wanted to sleep but the [MASK] suggested she leave . [SEP],[CLS] the next word is actress. anita wanted to sleep but the [MASK] suggested she leave . [SEP],[CLS] the next word is coast. anita wanted to sleep but the [MASK] suggested she leave . [SEP]
open_class,high,actress,actor,four,[CLS] monica always wanted to become a big [MASK] . [SEP],[CLS] the next word is actor. monica always wanted to become a big [MASK] . [SEP],[CLS] the next word is four. monica always wanted to become a big [MASK] . [SEP]
open_class,low,actress,actor,four,[CLS] mandy was a struggling [MASK] . [SEP],[CLS] the next word is actor. mandy was a struggling [MASK] . [SEP],[CLS] the next word is four. mandy was a struggling [MASK] . [SEP]
open_class,high,add,sum,paradise,[CLS] jason wants to [MASK] excitement to his life . [SEP],[CLS] the next word is sum. jason wants to [MASK] excitement to his life . [SEP],[CLS] the next word is paradise. jason wants to [MASK] excitement to his life . [SEP]
open_class,low,add,sum,paradise,"[CLS] each 15 minutes , i 'd [MASK] warm water and aerate the tank with a cup . [SEP]","[CLS] the next word is sum. each 15 minutes , i 'd [MASK] warm water and aerate the tank with a cup . [SEP]","[CLS] the next word is paradise. each 15 minutes , i 'd [MASK] warm water and aerate the tank with a cup . [SEP]"
open_class,high,addition,subtraction,instructions,[CLS] the frog was a great new [MASK] to his house ! [SEP],[CLS] the next word is subtraction. the frog was a great new [MASK] to his house ! [SEP],[CLS] the next word is instructions. the frog was a great new [MASK] to his house ! [SEP]
open_class,low,addition,subtraction,instructions,"[CLS] in [MASK] , abby learned that there were even camping grounds there . [SEP]","[CLS] the next word is subtraction. in [MASK] , abby learned that there were even camping grounds there . [SEP]","[CLS] the next word is instructions. in [MASK] , abby learned that there were even camping grounds there . [SEP]"
open_class,high,adventure,explorer,wary,"[CLS] while nervous , gary knew this was going to be an [MASK] . [SEP]","[CLS] the next word is explorer. while nervous , gary knew this was going to be an [MASK] . [SEP]","[CLS] the next word is wary. while nervous , gary knew this was going to be an [MASK] . [SEP]"
open_class,low,adventure,explorer,wary,[CLS] jerry started to feel excited for his new [MASK] . [SEP],[CLS] the next word is explorer. jerry started to feel excited for his new [MASK] . [SEP],[CLS] the next word is wary. jerry started to feel excited for his new [MASK] . [SEP]
open_class,high,advice,suggest,no,[CLS] he asked his best friend for [MASK] . [SEP],[CLS] the next word is suggest. he asked his best friend for [MASK] . [SEP],[CLS] the next word is no. he asked his best friend for [MASK] . [SEP]
open_class,low,advice,suggest,no,[CLS] she decided to listen to my [MASK] . [SEP],[CLS] the next word is suggest. she decided to listen to my [MASK] . [SEP],[CLS] the next word is no. she decided to listen to my [MASK] . [SEP]
open_class,low,africa,continent,threat,[CLS] she got to travel to [MASK] to educate young children . [SEP],[CLS] the next word is continent. she got to travel to [MASK] to educate young children . [SEP],[CLS] the next word is threat. she got to travel to [MASK] to educate young children . [SEP]
open_class,high,africa,continent,threat,[CLS] leila went on safari in [MASK] . [SEP],[CLS] the next word is continent. leila went on safari in [MASK] . [SEP],[CLS] the next word is threat. leila went on safari in [MASK] . [SEP]
open_class,high,again,repeat,overwhelm,[CLS] alexandria never made spaghetti ever [MASK] . [SEP],[CLS] the next word is repeat. alexandria never made spaghetti ever [MASK] . [SEP],[CLS] the next word is overwhelm. alexandria never made spaghetti ever [MASK] . [SEP]
open_class,low,again,repeat,overwhelm,"[CLS] last night , they beat carolina [MASK] and looked good doing it . [SEP]","[CLS] the next word is repeat. last night , they beat carolina [MASK] and looked good doing it . [SEP]","[CLS] the next word is overwhelm. last night , they beat carolina [MASK] and looked good doing it . [SEP]"
open_class,high,age,years,rip,[CLS] he learns how to play several instruments at a young [MASK] . [SEP],[CLS] the next word is years. he learns how to play several instruments at a young [MASK] . [SEP],[CLS] the next word is rip. he learns how to play several instruments at a young [MASK] . [SEP]
open_class,low,age,years,rip,"[CLS] by [MASK] 22 , he was the ceo was a multi - million dollar company . [SEP]","[CLS] the next word is years. by [MASK] 22 , he was the ceo was a multi - million dollar company . [SEP]","[CLS] the next word is rip. by [MASK] 22 , he was the ceo was a multi - million dollar company . [SEP]"
open_class,high,agreement,contract,pro,[CLS] two weeks later i found out that marty had broken our [MASK] . [SEP],[CLS] the next word is contract. two weeks later i found out that marty had broken our [MASK] . [SEP],[CLS] the next word is pro. two weeks later i found out that marty had broken our [MASK] . [SEP]
open_class,low,agreement,contract,pro,[CLS] now they made an [MASK] on who can wear the shoes on what day . [SEP],[CLS] the next word is contract. now they made an [MASK] on who can wear the shoes on what day . [SEP],[CLS] the next word is pro. now they made an [MASK] on who can wear the shoes on what day . [SEP]
open_class,high,air,fan,listen,"[CLS] once he had purchased it , he raised his arms in the [MASK] in excitement . [SEP]","[CLS] the next word is fan. once he had purchased it , he raised his arms in the [MASK] in excitement . [SEP]","[CLS] the next word is listen. once he had purchased it , he raised his arms in the [MASK] in excitement . [SEP]"
open_class,low,air,fan,listen,[CLS] the [MASK] got very difficult to breathe . [SEP],[CLS] the next word is fan. the [MASK] got very difficult to breathe . [SEP],[CLS] the next word is listen. the [MASK] got very difficult to breathe . [SEP]
open_class,low,airplane,flying,essay,[CLS] i then saw a [MASK] fly into the second building . [SEP],[CLS] the next word is flying. i then saw a [MASK] fly into the second building . [SEP],[CLS] the next word is essay. i then saw a [MASK] fly into the second building . [SEP]
open_class,high,airplane,flying,essay,"[CLS] when sam stepped out the [MASK] , his family was there . [SEP]","[CLS] the next word is flying. when sam stepped out the [MASK] , his family was there . [SEP]","[CLS] the next word is essay. when sam stepped out the [MASK] , his family was there . [SEP]"
open_class,high,alcohol,drunk,pepperoni,[CLS] i ran to mom and she hosed me down and poured [MASK] all over . [SEP],[CLS] the next word is drunk. i ran to mom and she hosed me down and poured [MASK] all over . [SEP],[CLS] the next word is pepperoni. i ran to mom and she hosed me down and poured [MASK] all over . [SEP]
open_class,low,alcohol,drunk,pepperoni,[CLS] i told her that the extract was almost pure [MASK] . [SEP],[CLS] the next word is drunk. i told her that the extract was almost pure [MASK] . [SEP],[CLS] the next word is pepperoni. i told her that the extract was almost pure [MASK] . [SEP]
open_class,high,alert,awareness,reappear,"[CLS] i received a late delivery [MASK] , and was worried . [SEP]","[CLS] the next word is awareness. i received a late delivery [MASK] , and was worried . [SEP]","[CLS] the next word is reappear. i received a late delivery [MASK] , and was worried . [SEP]"
open_class,low,alert,awareness,reappear,"[CLS] just as she gets to the desk , she receives an [MASK] on her phone . [SEP]","[CLS] the next word is awareness. just as she gets to the desk , she receives an [MASK] on her phone . [SEP]","[CLS] the next word is reappear. just as she gets to the desk , she receives an [MASK] on her phone . [SEP]"
open_class,high,alive,dead,cuss,[CLS] and i miss those times when everything felt [MASK] again . [SEP],[CLS] the next word is dead. and i miss those times when everything felt [MASK] again . [SEP],[CLS] the next word is cuss. and i miss those times when everything felt [MASK] again . [SEP]
open_class,low,alive,dead,cuss,"[CLS] as john floated down to earth , he felt more [MASK] than ever before . [SEP]","[CLS] the next word is dead. as john floated down to earth , he felt more [MASK] than ever before . [SEP]","[CLS] the next word is cuss. as john floated down to earth , he felt more [MASK] than ever before . [SEP]"
open_class,high,alligator,crocodile,lost,[CLS] emilio decided to adopt the [MASK] . [SEP],[CLS] the next word is crocodile. emilio decided to adopt the [MASK] . [SEP],[CLS] the next word is lost. emilio decided to adopt the [MASK] . [SEP]
open_class,low,alligator,crocodile,lost,[CLS] billy tried to disturb the [MASK] . [SEP],[CLS] the next word is crocodile. billy tried to disturb the [MASK] . [SEP],[CLS] the next word is lost. billy tried to disturb the [MASK] . [SEP]
open_class,low,allow,disallow,army,[CLS] tara never used social media as her parents did not [MASK] it . [SEP],[CLS] the next word is disallow. tara never used social media as her parents did not [MASK] it . [SEP],[CLS] the next word is army. tara never used social media as her parents did not [MASK] it . [SEP]
open_class,high,allow,disallow,army,[CLS] they would not [MASK] me to cash them without it . [SEP],[CLS] the next word is disallow. they would not [MASK] me to cash them without it . [SEP],[CLS] the next word is army. they would not [MASK] me to cash them without it . [SEP]
open_class,high,alone,lonely,middle,[CLS] carl lived all [MASK] in a big house . [SEP],[CLS] the next word is lonely. carl lived all [MASK] in a big house . [SEP],[CLS] the next word is middle. carl lived all [MASK] in a big house . [SEP]
open_class,low,alone,lonely,middle,[CLS] she would cry when she was [MASK] . [SEP],[CLS] the next word is lonely. she would cry when she was [MASK] . [SEP],[CLS] the next word is middle. she would cry when she was [MASK] . [SEP]
open_class,high,alright,okay,hopeless,[CLS] it tasted [MASK] but made a lot of people sick . [SEP],[CLS] the next word is okay. it tasted [MASK] but made a lot of people sick . [SEP],[CLS] the next word is hopeless. it tasted [MASK] but made a lot of people sick . [SEP]
open_class,low,alright,okay,hopeless,[CLS] amber 's mom told her that it was not [MASK] to be a bully . [SEP],[CLS] the next word is okay. amber 's mom told her that it was not [MASK] to be a bully . [SEP],[CLS] the next word is hopeless. amber 's mom told her that it was not [MASK] to be a bully . [SEP]
open_class,low,aluminum,foil,jail,"[CLS] tom left all of his glass , [MASK] , and plastic in his garage . [SEP]","[CLS] the next word is foil. tom left all of his glass , [MASK] , and plastic in his garage . [SEP]","[CLS] the next word is jail. tom left all of his glass , [MASK] , and plastic in his garage . [SEP]"
open_class,high,aluminum,foil,jail,[CLS] she decided to buy cardboard boxes and [MASK] foil . [SEP],[CLS] the next word is foil. she decided to buy cardboard boxes and [MASK] foil . [SEP],[CLS] the next word is jail. she decided to buy cardboard boxes and [MASK] foil . [SEP]
open_class,high,ambulance,emergency,introvert,[CLS] they took him to the hospital in an [MASK] . [SEP],[CLS] the next word is emergency. they took him to the hospital in an [MASK] . [SEP],[CLS] the next word is introvert. they took him to the hospital in an [MASK] . [SEP]
open_class,low,ambulance,emergency,introvert,[CLS] the [MASK] came for her . [SEP],[CLS] the next word is emergency. the [MASK] came for her . [SEP],[CLS] the next word is introvert. the [MASK] came for her . [SEP]
open_class,high,america,usa,tube,[CLS] [MASK] 's intervention in iraq and afghanistan only made things worse . [SEP],[CLS] the next word is usa. [MASK] 's intervention in iraq and afghanistan only made things worse . [SEP],[CLS] the next word is tube. [MASK] 's intervention in iraq and afghanistan only made things worse . [SEP]
open_class,low,america,usa,tube,[CLS] she recently gave birth to a baby girl in [MASK] . [SEP],[CLS] the next word is usa. she recently gave birth to a baby girl in [MASK] . [SEP],[CLS] the next word is tube. she recently gave birth to a baby girl in [MASK] . [SEP]
open_class,high,american,flag,cobbler,"[CLS] lou and his family lived in the [MASK] south , and proudly ! [SEP]","[CLS] the next word is flag. lou and his family lived in the [MASK] south , and proudly ! [SEP]","[CLS] the next word is cobbler. lou and his family lived in the [MASK] south , and proudly ! [SEP]"
open_class,low,american,flag,cobbler,[CLS] victor thought that all foreigners were un - [MASK] . [SEP],[CLS] the next word is flag. victor thought that all foreigners were un - [MASK] . [SEP],[CLS] the next word is cobbler. victor thought that all foreigners were un - [MASK] . [SEP]
open_class,low,amount,quantity,united,"[CLS] last month , she came up with only half her rent [MASK] . [SEP]","[CLS] the next word is quantity. last month , she came up with only half her rent [MASK] . [SEP]","[CLS] the next word is united. last month , she came up with only half her rent [MASK] . [SEP]"
open_class,high,amount,quantity,united,[CLS] she doubled the [MASK] of pictures she takes . [SEP],[CLS] the next word is quantity. she doubled the [MASK] of pictures she takes . [SEP],[CLS] the next word is united. she doubled the [MASK] of pictures she takes . [SEP]
open_class,low,angel,saint,hike,[CLS] my little brother was practically an [MASK] until after christmas . [SEP],[CLS] the next word is saint. my little brother was practically an [MASK] until after christmas . [SEP],[CLS] the next word is hike. my little brother was practically an [MASK] until after christmas . [SEP]
open_class,high,angel,saint,hike,[CLS] she also sings like an [MASK] . [SEP],[CLS] the next word is saint. she also sings like an [MASK] . [SEP],[CLS] the next word is hike. she also sings like an [MASK] . [SEP]
open_class,low,anger,fury,standard,[CLS] his [MASK] was something he could not control . [SEP],[CLS] the next word is fury. his [MASK] was something he could not control . [SEP],[CLS] the next word is standard. his [MASK] was something he could not control . [SEP]
open_class,high,anger,fury,standard,[CLS] pat slammed the door shut in [MASK] . [SEP],[CLS] the next word is fury. pat slammed the door shut in [MASK] . [SEP],[CLS] the next word is standard. pat slammed the door shut in [MASK] . [SEP]
open_class,low,angry,mad,time,[CLS] i was only ten but was [MASK] at the kids . [SEP],[CLS] the next word is mad. i was only ten but was [MASK] at the kids . [SEP],[CLS] the next word is time. i was only ten but was [MASK] at the kids . [SEP]
open_class,high,angry,mad,time,[CLS] his wife got [MASK] . [SEP],[CLS] the next word is mad. his wife got [MASK] . [SEP],[CLS] the next word is time. his wife got [MASK] . [SEP]
open_class,high,animal,beast,thesaurus,[CLS] to impress her i tried to win her a stuffed [MASK] . [SEP],[CLS] the next word is beast. to impress her i tried to win her a stuffed [MASK] . [SEP],[CLS] the next word is thesaurus. to impress her i tried to win her a stuffed [MASK] . [SEP]
open_class,low,animal,beast,thesaurus,[CLS] she was raised with always having at least one [MASK] in her home . [SEP],[CLS] the next word is beast. she was raised with always having at least one [MASK] in her home . [SEP],[CLS] the next word is thesaurus. she was raised with always having at least one [MASK] in her home . [SEP]
open_class,low,ankle,sprain,shoulder,[CLS] he did n't land it right and hurt his [MASK] . [SEP],[CLS] the next word is sprain. he did n't land it right and hurt his [MASK] . [SEP],[CLS] the next word is shoulder. he did n't land it right and hurt his [MASK] . [SEP]
open_class,high,ankle,sprain,shoulder,"[CLS] when he comes back , he 's limping from turning his [MASK] on a curb . [SEP]","[CLS] the next word is sprain. when he comes back , he 's limping from turning his [MASK] on a curb . [SEP]","[CLS] the next word is shoulder. when he comes back , he 's limping from turning his [MASK] on a curb . [SEP]"
open_class,low,annoying,irritating,drop,[CLS] it 's not that bad but still [MASK] . [SEP],[CLS] the next word is irritating. it 's not that bad but still [MASK] . [SEP],[CLS] the next word is drop. it 's not that bad but still [MASK] . [SEP]
open_class,high,annoying,irritating,drop,[CLS] the bubbles were so [MASK] to drink . [SEP],[CLS] the next word is irritating. the bubbles were so [MASK] to drink . [SEP],[CLS] the next word is drop. the bubbles were so [MASK] to drink . [SEP]
open_class,high,answer,explanation,communist,[CLS] i did not [MASK] my cell phone when my family and friends called . [SEP],[CLS] the next word is explanation. i did not [MASK] my cell phone when my family and friends called . [SEP],[CLS] the next word is communist. i did not [MASK] my cell phone when my family and friends called . [SEP]
open_class,low,answer,explanation,communist,[CLS] a road trip was the [MASK] for this . [SEP],[CLS] the next word is explanation. a road trip was the [MASK] for this . [SEP],[CLS] the next word is communist. a road trip was the [MASK] for this . [SEP]
open_class,high,ant,anteater,motionless,[CLS] she sprayed all of the ants with [MASK] spray . [SEP],[CLS] the next word is anteater. she sprayed all of the ants with [MASK] spray . [SEP],[CLS] the next word is motionless. she sprayed all of the ants with [MASK] spray . [SEP]
open_class,low,ant,anteater,motionless,[CLS] the boy ran back to the [MASK] . [SEP],[CLS] the next word is anteater. the boy ran back to the [MASK] . [SEP],[CLS] the next word is motionless. the boy ran back to the [MASK] . [SEP]
open_class,low,anxiety,stress,washcloth,"[CLS] during the presentation , i noticed that my [MASK] had vanished . [SEP]","[CLS] the next word is stress. during the presentation , i noticed that my [MASK] had vanished . [SEP]","[CLS] the next word is washcloth. during the presentation , i noticed that my [MASK] had vanished . [SEP]"
open_class,high,anxiety,stress,washcloth,[CLS] lilly had been struggling with [MASK] ever since we was 3 year 's old . [SEP],[CLS] the next word is stress. lilly had been struggling with [MASK] ever since we was 3 year 's old . [SEP],[CLS] the next word is washcloth. lilly had been struggling with [MASK] ever since we was 3 year 's old . [SEP]
open_class,high,apart,together,reef,[CLS] he was nervous and just wanted to be [MASK] of something . [SEP],[CLS] the next word is together. he was nervous and just wanted to be [MASK] of something . [SEP],[CLS] the next word is reef. he was nervous and just wanted to be [MASK] of something . [SEP]
open_class,low,apart,together,reef,[CLS] she pulled [MASK] the drain but could n't find the ring . [SEP],[CLS] the next word is together. she pulled [MASK] the drain but could n't find the ring . [SEP],[CLS] the next word is reef. she pulled [MASK] the drain but could n't find the ring . [SEP]
open_class,high,apartment,rent,component,[CLS] dan lived in a small [MASK] complex . [SEP],[CLS] the next word is rent. dan lived in a small [MASK] complex . [SEP],[CLS] the next word is component. dan lived in a small [MASK] complex . [SEP]
open_class,low,apartment,rent,component,[CLS] a man was locked out of his [MASK] when he left his keys inside . [SEP],[CLS] the next word is rent. a man was locked out of his [MASK] when he left his keys inside . [SEP],[CLS] the next word is component. a man was locked out of his [MASK] when he left his keys inside . [SEP]
open_class,low,ape,monkey,glare,[CLS] the [MASK] charged the glass aggressively and scared terry . [SEP],[CLS] the next word is monkey. the [MASK] charged the glass aggressively and scared terry . [SEP],[CLS] the next word is glare. the [MASK] charged the glass aggressively and scared terry . [SEP]
open_class,high,ape,monkey,glare,[CLS] the [MASK] began dancing for a brief moment . [SEP],[CLS] the next word is monkey. the [MASK] began dancing for a brief moment . [SEP],[CLS] the next word is glare. the [MASK] began dancing for a brief moment . [SEP]
open_class,high,apology,sorry,witch,"[CLS] fuming , melissa hung up with her husband after accepting his [MASK] . [SEP]","[CLS] the next word is sorry. fuming , melissa hung up with her husband after accepting his [MASK] . [SEP]","[CLS] the next word is witch. fuming , melissa hung up with her husband after accepting his [MASK] . [SEP]"
open_class,low,apology,sorry,witch,[CLS] the [MASK] seemed so heartfelt that the victim decided against it . [SEP],[CLS] the next word is sorry. the [MASK] seemed so heartfelt that the victim decided against it . [SEP],[CLS] the next word is witch. the [MASK] seemed so heartfelt that the victim decided against it . [SEP]
open_class,low,appear,seem,juggler,"[CLS] first , gary made several coins [MASK] from his niece 's ear . [SEP]","[CLS] the next word is seem. first , gary made several coins [MASK] from his niece 's ear . [SEP]","[CLS] the next word is juggler. first , gary made several coins [MASK] from his niece 's ear . [SEP]"
open_class,high,appear,seem,juggler,"[CLS] laura stood and yelled at the dog , trying to [MASK] intimidating . [SEP]","[CLS] the next word is seem. laura stood and yelled at the dog , trying to [MASK] intimidating . [SEP]","[CLS] the next word is juggler. laura stood and yelled at the dog , trying to [MASK] intimidating . [SEP]"
open_class,high,apple,pie,attend,[CLS] martha baked an [MASK] pie and put it on the feeder . [SEP],[CLS] the next word is pie. martha baked an [MASK] pie and put it on the feeder . [SEP],[CLS] the next word is attend. martha baked an [MASK] pie and put it on the feeder . [SEP]
open_class,low,apple,pie,attend,[CLS] she turned me around and popped the [MASK] out of my throat . [SEP],[CLS] the next word is pie. she turned me around and popped the [MASK] out of my throat . [SEP],[CLS] the next word is attend. she turned me around and popped the [MASK] out of my throat . [SEP]
open_class,low,april,march,tutu,"[CLS] in [MASK] , bob decided he need to do his taxes . [SEP]","[CLS] the next word is march. in [MASK] , bob decided he need to do his taxes . [SEP]","[CLS] the next word is tutu. in [MASK] , bob decided he need to do his taxes . [SEP]"
open_class,high,april,march,tutu,[CLS] stella had planted her very first garden on [MASK] first . [SEP],[CLS] the next word is march. stella had planted her very first garden on [MASK] first . [SEP],[CLS] the next word is tutu. stella had planted her very first garden on [MASK] first . [SEP]
open_class,high,area,region,tent,[CLS] he looked in bookstores in the [MASK] . [SEP],[CLS] the next word is region. he looked in bookstores in the [MASK] . [SEP],[CLS] the next word is tent. he looked in bookstores in the [MASK] . [SEP]
open_class,low,area,region,tent,[CLS] later the next day the surrounding [MASK] flooded in two feet of water . [SEP],[CLS] the next word is region. later the next day the surrounding [MASK] flooded in two feet of water . [SEP],[CLS] the next word is tent. later the next day the surrounding [MASK] flooded in two feet of water . [SEP]
open_class,high,argue,debate,treasure,"[CLS] we did not [MASK] with the energy efficiency approach , however . [SEP]","[CLS] the next word is debate. we did not [MASK] with the energy efficiency approach , however . [SEP]","[CLS] the next word is treasure. we did not [MASK] with the energy efficiency approach , however . [SEP]"
open_class,low,argue,debate,treasure,[CLS] gina dreaded reminding him because she new they would [MASK] . [SEP],[CLS] the next word is debate. gina dreaded reminding him because she new they would [MASK] . [SEP],[CLS] the next word is treasure. gina dreaded reminding him because she new they would [MASK] . [SEP]
open_class,low,argument,disagreement,refreshing,[CLS] they realized that the [MASK] was stupid . [SEP],[CLS] the next word is disagreement. they realized that the [MASK] was stupid . [SEP],[CLS] the next word is refreshing. they realized that the [MASK] was stupid . [SEP]
open_class,high,argument,disagreement,refreshing,[CLS] tom got into an [MASK] at the club . [SEP],[CLS] the next word is disagreement. tom got into an [MASK] at the club . [SEP],[CLS] the next word is refreshing. tom got into an [MASK] at the club . [SEP]
open_class,low,arm,shoulder,surrounding,"[CLS] his mom came running , his [MASK] was broken . [SEP]","[CLS] the next word is shoulder. his mom came running , his [MASK] was broken . [SEP]","[CLS] the next word is surrounding. his mom came running , his [MASK] was broken . [SEP]"
open_class,high,arm,shoulder,surrounding,"[CLS] when she plugged the plug in , she felt a sharp heavy pain up her [MASK] . [SEP]","[CLS] the next word is shoulder. when she plugged the plug in , she felt a sharp heavy pain up her [MASK] . [SEP]","[CLS] the next word is surrounding. when she plugged the plug in , she felt a sharp heavy pain up her [MASK] . [SEP]"
open_class,low,armor,knight,ahead,[CLS] tim went out to buy [MASK] . [SEP],[CLS] the next word is knight. tim went out to buy [MASK] . [SEP],[CLS] the next word is ahead. tim went out to buy [MASK] . [SEP]
open_class,high,armor,knight,ahead,[CLS] sir roger was a knight in shining [MASK] . [SEP],[CLS] the next word is knight. sir roger was a knight in shining [MASK] . [SEP],[CLS] the next word is ahead. sir roger was a knight in shining [MASK] . [SEP]
open_class,low,arms,octopus,tractor,[CLS] she was stretching her [MASK] when she hit something . [SEP],[CLS] the next word is octopus. she was stretching her [MASK] when she hit something . [SEP],[CLS] the next word is tractor. she was stretching her [MASK] when she hit something . [SEP]
open_class,high,arms,octopus,tractor,[CLS] she got down on the ground and spread her [MASK] and legs . [SEP],[CLS] the next word is octopus. she got down on the ground and spread her [MASK] and legs . [SEP],[CLS] the next word is tractor. she got down on the ground and spread her [MASK] and legs . [SEP]
open_class,low,army,corporal,caution,[CLS] wade was trying to join the [MASK] . [SEP],[CLS] the next word is corporal. wade was trying to join the [MASK] . [SEP],[CLS] the next word is caution. wade was trying to join the [MASK] . [SEP]
open_class,high,army,corporal,caution,[CLS] cody signed up to join the [MASK] . [SEP],[CLS] the next word is corporal. cody signed up to join the [MASK] . [SEP],[CLS] the next word is caution. cody signed up to join the [MASK] . [SEP]
