target,related,unrelated,relation,context
act,perform,frisk,synonym,[CLS] she felt so stilted that she needed to [MASK] out . [SEP]
act,pretend,ton,synonym,[CLS] she felt so stilted that she needed to [MASK] out . [SEP]
act,perform,frisk,synonym,"[CLS] mom tried to [MASK] upset , but she was laughing on the inside . [SEP]"
act,pretend,ton,synonym,"[CLS] mom tried to [MASK] upset , but she was laughing on the inside . [SEP]"
act,perform,frisk,synonym,[CLS] recently his neighbor tried to [MASK] afraid of charles . [SEP]
act,pretend,ton,synonym,[CLS] recently his neighbor tried to [MASK] afraid of charles . [SEP]
act,perform,frisk,synonym,[CLS] jeff had a solo musical [MASK] in his hometown . [SEP]
act,pretend,ton,synonym,[CLS] jeff had a solo musical [MASK] in his hometown . [SEP]
action,reaction,dip,unclassified,"[CLS] there , she gaped at all the lights and [MASK] . [SEP]"
action,consequence,trade,unclassified,"[CLS] there , she gaped at all the lights and [MASK] . [SEP]"
action,reaction,dip,unclassified,"[CLS] he stepped on ed 's favorite [MASK] toy , breaking it . [SEP]"
action,consequence,trade,unclassified,"[CLS] he stepped on ed 's favorite [MASK] toy , breaking it . [SEP]"
action,reaction,dip,unclassified,[CLS] he interrupted game [MASK] with a jaunt that lasted about a minute . [SEP]
action,consequence,trade,unclassified,[CLS] he interrupted game [MASK] with a jaunt that lasted about a minute . [SEP]
action,reaction,dip,unclassified,[CLS] gina was excited to be in on the [MASK] . [SEP]
action,consequence,trade,unclassified,[CLS] gina was excited to be in on the [MASK] . [SEP]
action,reaction,dip,unclassified,"[CLS] because of quick [MASK] , everyone survived . [SEP]"
action,consequence,trade,unclassified,"[CLS] because of quick [MASK] , everyone survived . [SEP]"
action,reaction,dip,unclassified,"[CLS] afterwards , he realized that [MASK] was ill - advised . [SEP]"
action,consequence,trade,unclassified,"[CLS] afterwards , he realized that [MASK] was ill - advised . [SEP]"
action,reaction,dip,unclassified,[CLS] he was really bummed but decided to take [MASK] . [SEP]
action,consequence,trade,unclassified,[CLS] he was really bummed but decided to take [MASK] . [SEP]
action,reaction,dip,unclassified,[CLS] my friends and i tried to make an [MASK] movie and i was the stuntman . [SEP]
action,consequence,trade,unclassified,[CLS] my friends and i tried to make an [MASK] movie and i was the stuntman . [SEP]
action,reaction,dip,unclassified,[CLS] he bought a batman [MASK] figure . [SEP]
action,consequence,trade,unclassified,[CLS] he bought a batman [MASK] figure . [SEP]
action,reaction,dip,unclassified,"[CLS] thinking about the best course of [MASK] , she made a call . [SEP]"
action,consequence,trade,unclassified,"[CLS] thinking about the best course of [MASK] , she made a call . [SEP]"
actor,actress,coast,category,[CLS] robin was a very famous [MASK] . [SEP]
actor,comedian,wasted,supraordinate,[CLS] robin was a very famous [MASK] . [SEP]
actor,actress,coast,category,[CLS] morgan had always wanted to be an [MASK] . [SEP]
actor,comedian,wasted,supraordinate,[CLS] morgan had always wanted to be an [MASK] . [SEP]
actor,actress,coast,category,[CLS] ryan is a tv [MASK] . [SEP]
actor,comedian,wasted,supraordinate,[CLS] ryan is a tv [MASK] . [SEP]
actor,actress,coast,category,"[CLS] instead of spouting equations , he 'd imitate a famous hollywood [MASK] . [SEP]"
actor,comedian,wasted,supraordinate,"[CLS] instead of spouting equations , he 'd imitate a famous hollywood [MASK] . [SEP]"
actor,actress,coast,category,[CLS] lucy dreams of being an [MASK] . [SEP]
actor,comedian,wasted,supraordinate,[CLS] lucy dreams of being an [MASK] . [SEP]
actor,actress,coast,category,[CLS] the lead [MASK] in our school play was afraid of rabbits . [SEP]
actor,comedian,wasted,supraordinate,[CLS] the lead [MASK] in our school play was afraid of rabbits . [SEP]
actor,actress,coast,category,[CLS] paul is an [MASK] . [SEP]
actor,comedian,wasted,supraordinate,[CLS] paul is an [MASK] . [SEP]
actor,actress,coast,category,[CLS] aaron was an [MASK] in a play . [SEP]
actor,comedian,wasted,supraordinate,[CLS] aaron was an [MASK] in a play . [SEP]
actor,actress,coast,category,"[CLS] that led to an acting career , and now he is the best [MASK] ever . [SEP]"
actor,comedian,wasted,supraordinate,"[CLS] that led to an acting career , and now he is the best [MASK] ever . [SEP]"
actor,actress,coast,category,[CLS] tanner was an [MASK] in a play . [SEP]
actor,comedian,wasted,supraordinate,[CLS] tanner was an [MASK] in a play . [SEP]
add,sum,paradise,synonym,[CLS] sara sadly realized she had forgotten to [MASK] the egg ! [SEP]
add,numbers,leaf,functional property,[CLS] sara sadly realized she had forgotten to [MASK] the egg ! [SEP]
add,sum,paradise,synonym,[CLS] they hired a contractor to come in and [MASK] a wall of windows . [SEP]
add,numbers,leaf,functional property,[CLS] they hired a contractor to come in and [MASK] a wall of windows . [SEP]
add,sum,paradise,synonym,[CLS] so she decided to [MASK] them to smoothies . [SEP]
add,numbers,leaf,functional property,[CLS] so she decided to [MASK] them to smoothies . [SEP]
add,sum,paradise,synonym,[CLS] so she decided not to [MASK] any sugar . [SEP]
add,numbers,leaf,functional property,[CLS] so she decided not to [MASK] any sugar . [SEP]
add,sum,paradise,synonym,[CLS] he did not know what to [MASK] . [SEP]
add,numbers,leaf,functional property,[CLS] he did not know what to [MASK] . [SEP]
add,sum,paradise,synonym,"[CLS] one day , i decided to [MASK] to my pet family and bring home a kitten . [SEP]"
add,numbers,leaf,functional property,"[CLS] one day , i decided to [MASK] to my pet family and bring home a kitten . [SEP]"
add,sum,paradise,synonym,[CLS] i was glad to [MASK] to my collection . [SEP]
add,numbers,leaf,functional property,[CLS] i was glad to [MASK] to my collection . [SEP]
add,sum,paradise,synonym,[CLS] she 's ready to [MASK] some more weight to the bar . [SEP]
add,numbers,leaf,functional property,[CLS] she 's ready to [MASK] some more weight to the bar . [SEP]
add,sum,paradise,synonym,[CLS] he decided to [MASK] some led lights to the bike frame and wheels . [SEP]
add,numbers,leaf,functional property,[CLS] he decided to [MASK] some led lights to the bike frame and wheels . [SEP]
add,sum,paradise,synonym,[CLS] she 's hoping to [MASK] some rare teddy bears to her collection . [SEP]
add,numbers,leaf,functional property,[CLS] she 's hoping to [MASK] some rare teddy bears to her collection . [SEP]
addition,subtraction,instructions,antonym,"[CLS] in [MASK] , he purchased his favorite player 's jersey . [SEP]"
addition,extension,valentine,unclassified,"[CLS] in [MASK] , he purchased his favorite player 's jersey . [SEP]"
addition,subtraction,instructions,antonym,[CLS] in [MASK] he charged a high price for his services . [SEP]
addition,extension,valentine,unclassified,[CLS] in [MASK] he charged a high price for his services . [SEP]
addition,subtraction,instructions,antonym,[CLS] he hired a contractor to build the new [MASK] . [SEP]
addition,extension,valentine,unclassified,[CLS] he hired a contractor to build the new [MASK] . [SEP]
addition,subtraction,instructions,antonym,"[CLS] in [MASK] , i realized that my body was soaked in sweat . [SEP]"
addition,extension,valentine,unclassified,"[CLS] in [MASK] , i realized that my body was soaked in sweat . [SEP]"
addition,subtraction,instructions,antonym,"[CLS] in [MASK] , he demanded jeff to do 100 - 200 push ups . [SEP]"
addition,extension,valentine,unclassified,"[CLS] in [MASK] , he demanded jeff to do 100 - 200 push ups . [SEP]"
addition,subtraction,instructions,antonym,[CLS] they have been a great [MASK] to our family . [SEP]
addition,extension,valentine,unclassified,[CLS] they have been a great [MASK] to our family . [SEP]
addition,subtraction,instructions,antonym,"[CLS] in [MASK] , she led us to getting a good grade . [SEP]"
addition,extension,valentine,unclassified,"[CLS] in [MASK] , she led us to getting a good grade . [SEP]"
addition,subtraction,instructions,antonym,"[CLS] in [MASK] , she asked me out the next day . [SEP]"
addition,extension,valentine,unclassified,"[CLS] in [MASK] , she asked me out the next day . [SEP]"
addition,subtraction,instructions,antonym,"[CLS] in [MASK] , it turned her umbrella inside out . [SEP]"
addition,extension,valentine,unclassified,"[CLS] in [MASK] , it turned her umbrella inside out . [SEP]"
addition,subtraction,instructions,antonym,"[CLS] in [MASK] , we stayed up all night . [SEP]"
addition,extension,valentine,unclassified,"[CLS] in [MASK] , we stayed up all night . [SEP]"
adventure,explorer,wary,unclassified,"[CLS] andy laughed , but got back up to enjoy his ice skating [MASK] . [SEP]"
adventure,conquest,intake,unclassified,"[CLS] andy laughed , but got back up to enjoy his ice skating [MASK] . [SEP]"
adventure,explorer,wary,unclassified,"[CLS] they did so , and loved every minute of passing scenery and [MASK] . [SEP]"
adventure,conquest,intake,unclassified,"[CLS] they did so , and loved every minute of passing scenery and [MASK] . [SEP]"
adventure,explorer,wary,unclassified,[CLS] herman was glad he went on such an exciting [MASK] . [SEP]
adventure,conquest,intake,unclassified,[CLS] herman was glad he went on such an exciting [MASK] . [SEP]
adventure,explorer,wary,unclassified,[CLS] in the end the road trip was an [MASK] to good to pass up . [SEP]
adventure,conquest,intake,unclassified,[CLS] in the end the road trip was an [MASK] to good to pass up . [SEP]
adventure,explorer,wary,unclassified,[CLS] jack had an [MASK] go wrong by falling down a hill with jill . [SEP]
adventure,conquest,intake,unclassified,[CLS] jack had an [MASK] go wrong by falling down a hill with jill . [SEP]
adventure,explorer,wary,unclassified,[CLS] he decided to pack up and go on a cross country [MASK] . [SEP]
adventure,conquest,intake,unclassified,[CLS] he decided to pack up and go on a cross country [MASK] . [SEP]
adventure,explorer,wary,unclassified,[CLS] after i got home i began planning my next [MASK] . [SEP]
adventure,conquest,intake,unclassified,[CLS] after i got home i began planning my next [MASK] . [SEP]
adventure,explorer,wary,unclassified,[CLS] but she knew he loved [MASK] and had always wanted to go skydiving . [SEP]
adventure,conquest,intake,unclassified,[CLS] but she knew he loved [MASK] and had always wanted to go skydiving . [SEP]
adventure,explorer,wary,unclassified,[CLS] rita 's dream was to go on a long hiking [MASK] on a trail . [SEP]
adventure,conquest,intake,unclassified,[CLS] rita 's dream was to go on a long hiking [MASK] on a trail . [SEP]
adventure,explorer,wary,unclassified,[CLS] the man continued on his [MASK] . [SEP]
adventure,conquest,intake,unclassified,[CLS] the man continued on his [MASK] . [SEP]
advice,suggest,no,synonym,[CLS] pim had a great time and mentally devalued his friends ' [MASK] . [SEP]
advice,advise,text,unclassified,[CLS] pim had a great time and mentally devalued his friends ' [MASK] . [SEP]
advice,suggest,no,synonym,[CLS] he got [MASK] from several people . [SEP]
advice,advise,text,unclassified,[CLS] he got [MASK] from several people . [SEP]
advice,suggest,no,synonym,[CLS] he never followed his parents [MASK] . [SEP]
advice,advise,text,unclassified,[CLS] he never followed his parents [MASK] . [SEP]
advice,suggest,no,synonym,"[CLS] when they graduated , charles ' father gave him [MASK] . [SEP]"
advice,advise,text,unclassified,"[CLS] when they graduated , charles ' father gave him [MASK] . [SEP]"
advice,suggest,no,synonym,[CLS] all his neighbors go to him for [MASK] . [SEP]
advice,advise,text,unclassified,[CLS] all his neighbors go to him for [MASK] . [SEP]
advice,suggest,no,synonym,[CLS] bob followed his [MASK] . [SEP]
advice,advise,text,unclassified,[CLS] bob followed his [MASK] . [SEP]
advice,suggest,no,synonym,[CLS] he researched online for some [MASK] . [SEP]
advice,advise,text,unclassified,[CLS] he researched online for some [MASK] . [SEP]
advice,suggest,no,synonym,"[CLS] she did n't know what to do , so she called her friend al for [MASK] . [SEP]"
advice,advise,text,unclassified,"[CLS] she did n't know what to do , so she called her friend al for [MASK] . [SEP]"
advice,suggest,no,synonym,[CLS] brad asked for [MASK] on how to handle the situation . [SEP]
advice,advise,text,unclassified,[CLS] brad asked for [MASK] on how to handle the situation . [SEP]
advice,suggest,no,synonym,[CLS] he asked a local for [MASK] on dining . [SEP]
advice,advise,text,unclassified,[CLS] he asked a local for [MASK] on dining . [SEP]
africa,continent,threat,supraordinate,[CLS] barry and his wife adopted a little girl from [MASK] . [SEP]
africa,hunger,straight,perceptual property,[CLS] barry and his wife adopted a little girl from [MASK] . [SEP]
africa,continent,threat,supraordinate,[CLS] uki was traveling in [MASK] . [SEP]
africa,hunger,straight,perceptual property,[CLS] uki was traveling in [MASK] . [SEP]
africa,continent,threat,supraordinate,[CLS] the family took a vacation to [MASK] to take a safari trip . [SEP]
africa,hunger,straight,perceptual property,[CLS] the family took a vacation to [MASK] to take a safari trip . [SEP]
africa,continent,threat,supraordinate,[CLS] he was from south [MASK] and anna was apprehensive and worried ! [SEP]
africa,hunger,straight,perceptual property,[CLS] he was from south [MASK] and anna was apprehensive and worried ! [SEP]
africa,continent,threat,supraordinate,"[CLS] after finishing a discipleship school in south [MASK] , i stayed longer . [SEP]"
africa,hunger,straight,perceptual property,"[CLS] after finishing a discipleship school in south [MASK] , i stayed longer . [SEP]"
africa,continent,threat,supraordinate,[CLS] i was visiting south [MASK] so a few people did n't speak good english . [SEP]
africa,hunger,straight,perceptual property,[CLS] i was visiting south [MASK] so a few people did n't speak good english . [SEP]
africa,continent,threat,supraordinate,"[CLS] so in table mountain in south [MASK] , we sang with strangers ! [SEP]"
africa,hunger,straight,perceptual property,"[CLS] so in table mountain in south [MASK] , we sang with strangers ! [SEP]"
africa,continent,threat,supraordinate,[CLS] brian left his home in south [MASK] to go to canada to study . [SEP]
africa,hunger,straight,perceptual property,[CLS] brian left his home in south [MASK] to go to canada to study . [SEP]
africa,continent,threat,supraordinate,"[CLS] one day , after a trip to south [MASK] , hector decides to write again ! [SEP]"
africa,hunger,straight,perceptual property,"[CLS] one day , after a trip to south [MASK] , hector decides to write again ! [SEP]"
africa,continent,threat,supraordinate,[CLS] she was accepted and spent 3 years in sub - saharan [MASK] . [SEP]
africa,hunger,straight,perceptual property,[CLS] she was accepted and spent 3 years in sub - saharan [MASK] . [SEP]
again,repeat,overwhelm,synonym,"[CLS] within a few weeks , jacob and his dog were playing [MASK] ! [SEP]"
again,never,cop,forward phrasal associate,"[CLS] within a few weeks , jacob and his dog were playing [MASK] ! [SEP]"
again,repeat,overwhelm,synonym,[CLS] lisa never let her daughter to dishes [MASK] . [SEP]
again,never,cop,forward phrasal associate,[CLS] lisa never let her daughter to dishes [MASK] . [SEP]
again,repeat,overwhelm,synonym,[CLS] we are definitely thinking about going [MASK] next year . [SEP]
again,never,cop,forward phrasal associate,[CLS] we are definitely thinking about going [MASK] next year . [SEP]
again,repeat,overwhelm,synonym,[CLS] lucius bought a sidecar in case his mother decided to ride [MASK] . [SEP]
again,never,cop,forward phrasal associate,[CLS] lucius bought a sidecar in case his mother decided to ride [MASK] . [SEP]
again,repeat,overwhelm,synonym,[CLS] i was so ashamed i never stole [MASK] . [SEP]
again,never,cop,forward phrasal associate,[CLS] i was so ashamed i never stole [MASK] . [SEP]
again,repeat,overwhelm,synonym,[CLS] kevin never left food out [MASK] . [SEP]
again,never,cop,forward phrasal associate,[CLS] kevin never left food out [MASK] . [SEP]
again,repeat,overwhelm,synonym,[CLS] tom never took a girl to a zoo [MASK] . [SEP]
again,never,cop,forward phrasal associate,[CLS] tom never took a girl to a zoo [MASK] . [SEP]
again,repeat,overwhelm,synonym,[CLS] it took her three days to find it [MASK] . [SEP]
again,never,cop,forward phrasal associate,[CLS] it took her three days to find it [MASK] . [SEP]
again,repeat,overwhelm,synonym,[CLS] he never bought into media hype like that [MASK] . [SEP]
again,never,cop,forward phrasal associate,[CLS] he never bought into media hype like that [MASK] . [SEP]
again,repeat,overwhelm,synonym,[CLS] paul never looked before he sat [MASK] . [SEP]
again,never,cop,forward phrasal associate,[CLS] paul never looked before he sat [MASK] . [SEP]
against,for,block,antonym,[CLS] the titans were [MASK] the crapes . [SEP]
against,odds,latin,backward phrasal associate,[CLS] the titans were [MASK] the crapes . [SEP]
against,for,block,antonym,[CLS] his friends tried to get him to join [MASK] glenn . [SEP]
against,odds,latin,backward phrasal associate,[CLS] his friends tried to get him to join [MASK] glenn . [SEP]
against,for,block,antonym,[CLS] the water splashed [MASK] him on the ground . [SEP]
against,odds,latin,backward phrasal associate,[CLS] the water splashed [MASK] him on the ground . [SEP]
against,for,block,antonym,[CLS] she bought a huge ladder and set it up [MASK] her house . [SEP]
against,odds,latin,backward phrasal associate,[CLS] she bought a huge ladder and set it up [MASK] her house . [SEP]
against,for,block,antonym,[CLS] he held it [MASK] the item . [SEP]
against,odds,latin,backward phrasal associate,[CLS] he held it [MASK] the item . [SEP]
against,for,block,antonym,[CLS] a radical group named move were the combatants [MASK] the police . [SEP]
against,odds,latin,backward phrasal associate,[CLS] a radical group named move were the combatants [MASK] the police . [SEP]
against,for,block,antonym,[CLS] he brushed his car [MASK] mine . [SEP]
against,odds,latin,backward phrasal associate,[CLS] he brushed his car [MASK] mine . [SEP]
against,for,block,antonym,"[CLS] cindy was considering divorce , but it was [MASK] her religion . [SEP]"
against,odds,latin,backward phrasal associate,"[CLS] cindy was considering divorce , but it was [MASK] her religion . [SEP]"
against,for,block,antonym,[CLS] the people she works with are discriminating [MASK] her . [SEP]
against,odds,latin,backward phrasal associate,[CLS] the people she works with are discriminating [MASK] her . [SEP]
against,for,block,antonym,[CLS] i also worried my students would rebel [MASK] me . [SEP]
against,odds,latin,backward phrasal associate,[CLS] i also worried my students would rebel [MASK] me . [SEP]
age,years,rip,category,"[CLS] though , their parents did n't trust me because of my [MASK] . [SEP]"
age,mature,professor,synonym,"[CLS] though , their parents did n't trust me because of my [MASK] . [SEP]"
age,years,rip,category,[CLS] she particularly hated expensive phones being cast aside due to [MASK] . [SEP]
age,mature,professor,synonym,[CLS] she particularly hated expensive phones being cast aside due to [MASK] . [SEP]
age,years,rip,category,[CLS] they thought he was not ready due to his [MASK] . [SEP]
age,mature,professor,synonym,[CLS] they thought he was not ready due to his [MASK] . [SEP]
age,years,rip,category,[CLS] one day jeffrey was at the park and he spotted a boy that was his [MASK] . [SEP]
age,mature,professor,synonym,[CLS] one day jeffrey was at the park and he spotted a boy that was his [MASK] . [SEP]
age,years,rip,category,[CLS] susanna did n't appear to [MASK] . [SEP]
age,mature,professor,synonym,[CLS] susanna did n't appear to [MASK] . [SEP]
age,years,rip,category,[CLS] the photos were faded and damaged with [MASK] . [SEP]
age,mature,professor,synonym,[CLS] the photos were faded and damaged with [MASK] . [SEP]
age,years,rip,category,[CLS] the doctor missed warning signs which she attributed to old [MASK] . [SEP]
age,mature,professor,synonym,[CLS] the doctor missed warning signs which she attributed to old [MASK] . [SEP]
age,years,rip,category,"[CLS] by [MASK] 25 , i had competed for five years ; my wish came true ! [SEP]"
age,mature,professor,synonym,"[CLS] by [MASK] 25 , i had competed for five years ; my wish came true ! [SEP]"
age,years,rip,category,[CLS] she was very tiny for her [MASK] . [SEP]
age,mature,professor,synonym,[CLS] she was very tiny for her [MASK] . [SEP]
age,years,rip,category,[CLS] he is n't like most boys his [MASK] . [SEP]
age,mature,professor,synonym,[CLS] he is n't like most boys his [MASK] . [SEP]
agreement,contract,pro,synonym,[CLS] tim took the [MASK] and went to the class . [SEP]
agreement,negotiation,fancy,synonym,[CLS] tim took the [MASK] and went to the class . [SEP]
agreement,contract,pro,synonym,[CLS] they came to [MASK] to combine their favorite names into one . [SEP]
agreement,negotiation,fancy,synonym,[CLS] they came to [MASK] to combine their favorite names into one . [SEP]
agreement,contract,pro,synonym,[CLS] the dealer backed out of the [MASK] . [SEP]
agreement,negotiation,fancy,synonym,[CLS] the dealer backed out of the [MASK] . [SEP]
agreement,contract,pro,synonym,"[CLS] on the bright side , we made an [MASK] . [SEP]"
agreement,negotiation,fancy,synonym,"[CLS] on the bright side , we made an [MASK] . [SEP]"
agreement,contract,pro,synonym,[CLS] we made an [MASK] and i ended up giving her $ 1000 dollars . [SEP]
agreement,negotiation,fancy,synonym,[CLS] we made an [MASK] and i ended up giving her $ 1000 dollars . [SEP]
agreement,contract,pro,synonym,[CLS] together alerah and her parents came to an [MASK] . [SEP]
agreement,negotiation,fancy,synonym,[CLS] together alerah and her parents came to an [MASK] . [SEP]
agreement,contract,pro,synonym,[CLS] they had an [MASK] that they would play for an hour . [SEP]
agreement,negotiation,fancy,synonym,[CLS] they had an [MASK] that they would play for an hour . [SEP]
agreement,contract,pro,synonym,[CLS] we signed an [MASK] for a car without air conditioning . [SEP]
agreement,negotiation,fancy,synonym,[CLS] we signed an [MASK] for a car without air conditioning . [SEP]
agreement,contract,pro,synonym,[CLS] all the students nodded in [MASK] as he talked about the mirrors . [SEP]
agreement,negotiation,fancy,synonym,[CLS] all the students nodded in [MASK] as he talked about the mirrors . [SEP]
agreement,contract,pro,synonym,"[CLS] however , they are not in [MASK] about what name to choose for him . [SEP]"
agreement,negotiation,fancy,synonym,"[CLS] however , they are not in [MASK] about what name to choose for him . [SEP]"
air,fan,listen,instrument,[CLS] she used her fan to circulate [MASK] in her home . [SEP]
air,cool,guest,forward phrasal associate,[CLS] she used her fan to circulate [MASK] in her home . [SEP]
air,fan,listen,instrument,"[CLS] while in the [MASK] , we started having turbulence . [SEP]"
air,cool,guest,forward phrasal associate,"[CLS] while in the [MASK] , we started having turbulence . [SEP]"
air,fan,listen,instrument,"[CLS] a few times , it went in the [MASK] . [SEP]"
air,cool,guest,forward phrasal associate,"[CLS] a few times , it went in the [MASK] . [SEP]"
air,fan,listen,instrument,[CLS] he hits a hidden rock and ascends into the [MASK] . [SEP]
air,cool,guest,forward phrasal associate,[CLS] he hits a hidden rock and ascends into the [MASK] . [SEP]
air,fan,listen,instrument,[CLS] the [MASK] had to be turned on . [SEP]
