target,prime,unrelated,association,context_word,delta_nt_200ms,delta_nt_1200ms,relation,delta_ldt_200ms,delta_ldt_1200ms
africa,continent,threat,first,associated,7.41307815,16.56960409,supraordinate,-29.0756048387096,-151.59375
after,before,celcius,first,related,NA,82.62087912,antonym,-63.585532746823,105.685606060606
after,before,celcius,first,similar,NA,82.62087912,antonym,-63.585532746823,105.685606060606
after,before,celcius,first,associated,NA,82.62087912,antonym,-63.585532746823,105.685606060606
again,repeat,overwhelm,first,related,-19.15,-31.82417582,synonym,79.4375,13.3739919354839
again,repeat,overwhelm,first,similar,-19.15,-31.82417582,synonym,79.4375,13.3739919354839
again,repeat,overwhelm,first,associated,-19.15,-31.82417582,synonym,79.4375,13.3739919354839
against,for,block,first,related,125.7098214,-115.22,antonym,-9.40625,6.90441176470586
against,for,block,first,similar,125.7098214,-115.22,antonym,-9.40625,6.90441176470586
against,for,block,first,associated,125.7098214,-115.22,antonym,-9.40625,6.90441176470586
age,years,rip,first,related,18.71428571,-9.49122807,category,-24.3125,-11.6791666666667
age,years,rip,first,similar,18.71428571,-9.49122807,category,-24.3125,-11.6791666666667
age,years,rip,first,associated,18.71428571,-9.49122807,category,-24.3125,-11.6791666666667
agreement,contract,pro,first,related,-9.241312741,7.92,synonym,-17.2258064516129,-38.125
agreement,contract,pro,first,similar,-9.241312741,7.92,synonym,-17.2258064516129,-38.125
agreement,contract,pro,first,associated,-9.241312741,7.92,synonym,-17.2258064516129,-38.125
air,fan,listen,first,related,-7.537768538,6.4,instrument,31.59375,-23.0645833333333
air,fan,listen,first,similar,-7.537768538,6.4,instrument,31.59375,-23.0645833333333
air,fan,listen,first,associated,-7.537768538,6.4,instrument,31.59375,-23.0645833333333
airplane,flying,essay,first,related,-23.89,25.81699346,functional property,47.5,-75.4737903225806
airplane,flying,essay,first,similar,-23.89,25.81699346,functional property,47.5,-75.4737903225806
airplane,flying,essay,first,associated,-23.89,25.81699346,functional property,47.5,-75.4737903225806
alcohol,drunk,pepperoni,first,related,-38.75,3.021645022,unclassified,-120.25,24.375
alcohol,drunk,pepperoni,first,similar,-38.75,3.021645022,unclassified,-120.25,24.375
alcohol,drunk,pepperoni,first,associated,-38.75,3.021645022,unclassified,-120.25,24.375
alert,awareness,reappear,first,related,19.28076923,-2.815217391,synonym,-78.71875,-35.9032258064516
alert,awareness,reappear,first,similar,19.28076923,-2.815217391,synonym,-78.71875,-35.9032258064516
alert,awareness,reappear,first,associated,19.28076923,-2.815217391,synonym,-78.71875,-35.9032258064516
alive,dead,cuss,first,related,-63.16,117.45,antonym,-0.75,-59.7278225806451
alive,dead,cuss,first,similar,-63.16,117.45,antonym,-0.75,-59.7278225806451
alive,dead,cuss,first,associated,-63.16,117.45,antonym,-0.75,-59.7278225806451
all,most,amaze,first,related,17.42344498,68.93665158,unclassified,-20.375,-126.210166177908
all,most,amaze,first,similar,17.42344498,68.93665158,unclassified,-20.375,-126.210166177908
all,most,amaze,first,associated,17.42344498,68.93665158,unclassified,-20.375,-126.210166177908
alligator,crocodile,lost,first,related,-38.09259259,5.79,category,-116.787298387097,128.3880742913
alligator,crocodile,lost,first,similar,-38.09259259,5.79,category,-116.787298387097,128.3880742913
alligator,crocodile,lost,first,associated,-38.09259259,5.79,category,-116.787298387097,128.3880742913
allow,disallow,army,first,related,-32.04048583,-22.27037037,antonym,-3.96875,59.7444852941177
allow,disallow,army,first,similar,-32.04048583,-22.27037037,antonym,-3.96875,59.7444852941177
allow,disallow,army,first,associated,-32.04048583,-22.27037037,antonym,-3.96875,59.7444852941177
alone,lonely,middle,first,related,32.31578947,2.346969697,synonym,46.2298387096774,-102.21875
alone,lonely,middle,first,similar,32.31578947,2.346969697,synonym,46.2298387096774,-102.21875
alone,lonely,middle,first,associated,32.31578947,2.346969697,synonym,46.2298387096774,-102.21875
alright,okay,hopeless,first,related,-1.812543554,-54.55526316,synonym,-106.8125,62.4375
alright,okay,hopeless,first,similar,-1.812543554,-54.55526316,synonym,-106.8125,62.4375
alright,okay,hopeless,first,associated,-1.812543554,-54.55526316,synonym,-106.8125,62.4375
aluminum,foil,jail,first,related,-109.1705882,-2.05,bpa,-120.129032258065,-29.9989919354839
aluminum,foil,jail,first,similar,-109.1705882,-2.05,bpa,-120.129032258065,-29.9989919354839
aluminum,foil,jail,first,associated,-109.1705882,-2.05,bpa,-120.129032258065,-29.9989919354839
always,forever,positive,first,related,-1.850793651,-15.8994709,synonym,46.7689393939394,50.1799242424242
always,forever,positive,first,similar,-1.850793651,-15.8994709,synonym,46.7689393939394,50.1799242424242
always,forever,positive,first,associated,-1.850793651,-15.8994709,synonym,46.7689393939394,50.1799242424242
am,be,freeway,first,related,41.26984127,-39.11469534,unclassifed,-16.5625,149
am,be,freeway,first,similar,41.26984127,-39.11469534,unclassifed,-16.5625,149
am,be,freeway,first,associated,41.26984127,-39.11469534,unclassifed,-16.5625,149
ambulance,emergency,introvert,first,related,-80.44164332,-98.0042735,script,-122.711693548387,-16.9375
ambulance,emergency,introvert,first,similar,-80.44164332,-98.0042735,script,-122.711693548387,-16.9375
ambulance,emergency,introvert,first,associated,-80.44164332,-98.0042735,script,-122.711693548387,-16.9375
america,usa,tube,first,related,15.16009852,-20.375,synonym,-90.4375,-166.782991202346
america,usa,tube,first,similar,15.16009852,-20.375,synonym,-90.4375,-166.782991202346
america,usa,tube,first,associated,15.16009852,-20.375,synonym,-90.4375,-166.782991202346
american,flag,cobbler,first,related,5.344155844,-37.07219251,bpa,52.65625,161.75
american,flag,cobbler,first,similar,5.344155844,-37.07219251,bpa,52.65625,161.75
american,flag,cobbler,first,associated,5.344155844,-37.07219251,bpa,52.65625,161.75
amount,quantity,united,first,related,-68.80769231,-7.785714286,synonym,-147.869959677419,18.0574596774194
amount,quantity,united,first,similar,-68.80769231,-7.785714286,synonym,-147.869959677419,18.0574596774194
amount,quantity,united,first,associated,-68.80769231,-7.785714286,synonym,-147.869959677419,18.0574596774194
amuse,entertain,mug,first,related,33.63397129,-92.69428571,synonym,-27.7575757575758,-75.9677419354838
amuse,entertain,mug,first,similar,33.63397129,-92.69428571,synonym,-27.7575757575758,-75.9677419354838
amuse,entertain,mug,first,associated,33.63397129,-92.69428571,synonym,-27.7575757575758,-75.9677419354838
angel,saint,hike,first,related,48.84027778,21.31818182,unclassified,-77.0625,3.07708333333335
angel,saint,hike,first,similar,48.84027778,21.31818182,unclassified,-77.0625,3.07708333333335
angel,saint,hike,first,associated,48.84027778,21.31818182,unclassified,-77.0625,3.07708333333335
anger,fury,standard,first,related,-21.67365967,-297.7097902,synonym,-30.2414467253177,60.8001893939394
anger,fury,standard,first,similar,-21.67365967,-297.7097902,synonym,-30.2414467253177,60.8001893939394
anger,fury,standard,first,associated,-21.67365967,-297.7097902,synonym,-30.2414467253177,60.8001893939394
angry,mad,time,first,related,-26.34703947,-35.4,synonym,-6.90120967741939,-123.431985294118
angry,mad,time,first,similar,-26.34703947,-35.4,synonym,-6.90120967741939,-123.431985294118
angry,mad,time,first,associated,-26.34703947,-35.4,synonym,-6.90120967741939,-123.431985294118
animal,beast,thesaurus,first,related,-102.1607143,-22.14460512,unclassifed,42.6925403225806,-2.78125
animal,beast,thesaurus,first,similar,-102.1607143,-22.14460512,unclassifed,42.6925403225806,-2.78125
animal,beast,thesaurus,first,associated,-102.1607143,-22.14460512,unclassifed,42.6925403225806,-2.78125
ankle,sprain,shoulder,first,related,24.05026455,31.34848485,fpa,-97.3417338709677,-28.0362903225806
ankle,sprain,shoulder,first,similar,24.05026455,31.34848485,fpa,-97.3417338709677,-28.0362903225806
ankle,sprain,shoulder,first,associated,24.05026455,31.34848485,fpa,-97.3417338709677,-28.0362903225806
annoy,frustrate,disappear,first,related,52.25,-70.41729323,category,22.483870967742,31.7157258064516
annoy,frustrate,disappear,first,similar,52.25,-70.41729323,category,22.483870967742,31.7157258064516
annoy,frustrate,disappear,first,associated,52.25,-70.41729323,category,22.483870967742,31.7157258064516
annoying,irritating,drop,first,related,-56.37135279,-34.58496732,synonym,6.1875,-77.8739919354839
annoying,irritating,drop,first,similar,-56.37135279,-34.58496732,synonym,6.1875,-77.8739919354839
annoying,irritating,drop,first,associated,-56.37135279,-34.58496732,synonym,6.1875,-77.8739919354839
annually,yearly,most,first,related,-7.545454545,4.352941176,synonym,-27.2903225806451,-7.46875
annually,yearly,most,first,similar,-7.545454545,4.352941176,synonym,-27.2903225806451,-7.46875
annually,yearly,most,first,associated,-7.545454545,4.352941176,synonym,-27.2903225806451,-7.46875
answer,explanation,communist,first,related,49.38,6.609022556,synonym,35.8346774193549,21.7913306451613
answer,explanation,communist,first,similar,49.38,6.609022556,synonym,35.8346774193549,21.7913306451613
answer,explanation,communist,first,associated,49.38,6.609022556,synonym,35.8346774193549,21.7913306451613
ant,anteater,motionless,first,related,5.181818182,41.91851852,functional property,0.84375,-23.0132575757576
ant,anteater,motionless,first,similar,5.181818182,41.91851852,functional property,0.84375,-23.0132575757576
ant,anteater,motionless,first,associated,5.181818182,41.91851852,functional property,0.84375,-23.0132575757576
anxiety,stress,washcloth,first,related,-120.1692308,18.99242424,synonym,23.84375,53.9753787878788
anxiety,stress,washcloth,first,similar,-120.1692308,18.99242424,synonym,23.84375,53.9753787878788
anxiety,stress,washcloth,first,associated,-120.1692308,18.99242424,synonym,23.84375,53.9753787878788
apart,together,reef,first,related,-27.18518519,27.41256367,antonym,38.0625,89.4747983870968
apart,together,reef,first,similar,-27.18518519,27.41256367,antonym,38.0625,89.4747983870968
apart,together,reef,first,associated,-27.18518519,27.41256367,antonym,38.0625,89.4747983870968
apartment,rent,component,first,related,4.029411765,-49.83333333,script,-45.7810361681329,-48.3477822580645
apartment,rent,component,first,similar,4.029411765,-49.83333333,script,-45.7810361681329,-48.3477822580645
apartment,rent,component,first,associated,4.029411765,-49.83333333,script,-45.7810361681329,-48.3477822580645
ape,monkey,glare,first,related,-151.2556561,-11.32142857,category,-90.3135080645161,-20.1066176470588
ape,monkey,glare,first,similar,-151.2556561,-11.32142857,category,-90.3135080645161,-20.1066176470588
ape,monkey,glare,first,associated,-151.2556561,-11.32142857,category,-90.3135080645161,-20.1066176470588
apology,sorry,witch,first,related,0.2267206478,3.571428571,synonym,21.6060606060605,16.8840725806451
apology,sorry,witch,first,similar,0.2267206478,3.571428571,synonym,21.6060606060605,16.8840725806451
apology,sorry,witch,first,associated,0.2267206478,3.571428571,synonym,21.6060606060605,16.8840725806451
appear,seem,juggler,first,related,-49.88052569,31.57692308,synonym,-53.2992424242424,56.7982954545455
appear,seem,juggler,first,similar,-49.88052569,31.57692308,synonym,-53.2992424242424,56.7982954545455
appear,seem,juggler,first,associated,-49.88052569,31.57692308,synonym,-53.2992424242424,56.7982954545455
apple,pie,attend,first,related,17.38038278,33.05432373,bpa,8,-103.438508064516
apple,pie,attend,first,similar,17.38038278,33.05432373,bpa,8,-103.438508064516
apple,pie,attend,first,associated,17.38038278,33.05432373,bpa,8,-103.438508064516
april,march,tutu,first,related,-28.66666667,-25.19384615,category,-4.4385080645161,-50.4375
april,march,tutu,first,similar,-28.66666667,-25.19384615,category,-4.4385080645161,-50.4375
april,march,tutu,first,associated,-28.66666667,-25.19384615,category,-4.4385080645161,-50.4375
area,region,tent,first,related,-62.46,0.1832358674,synonym,91.1875,-24.1895161290323
area,region,tent,first,similar,-62.46,0.1832358674,synonym,91.1875,-24.1895161290323
area,region,tent,first,associated,-62.46,0.1832358674,synonym,91.1875,-24.1895161290323
argue,debate,treasure,first,related,-14.243589740000001,32.63221361,synonym,-77.8670576735092,23.4604105571848
argue,debate,treasure,first,similar,-14.243589740000001,32.63221361,synonym,-77.8670576735092,23.4604105571848
argue,debate,treasure,first,associated,-14.243589740000001,32.63221361,synonym,-77.8670576735092,23.4604105571848
argument,disagreement,refreshing,first,related,16.87337662,72.17639257,synonym,135.6875,22.9962121212121
argument,disagreement,refreshing,first,similar,16.87337662,72.17639257,synonym,135.6875,22.9962121212121
argument,disagreement,refreshing,first,associated,16.87337662,72.17639257,synonym,135.6875,22.9962121212121
arm,shoulder,surrounding,first,related,-21.84663866,-47.85,category,-16.96875,238.089717741935
arm,shoulder,surrounding,first,similar,-21.84663866,-47.85,category,-16.96875,238.089717741935
arm,shoulder,surrounding,first,associated,-21.84663866,-47.85,category,-16.96875,238.089717741935
armor,knight,ahead,first,related,-46.29285714,-29.06538462,script,-202.69696969697,37.5887096774194
armor,knight,ahead,first,similar,-46.29285714,-29.06538462,script,-202.69696969697,37.5887096774194
armor,knight,ahead,first,associated,-46.29285714,-29.06538462,script,-202.69696969697,37.5887096774194
arms,octopus,tractor,first,related,76.82900433,4.301587302,perceptual property,-39.7288306451613,3.0785984848485
arms,octopus,tractor,first,similar,76.82900433,4.301587302,perceptual property,-39.7288306451613,3.0785984848485
arms,octopus,tractor,first,associated,76.82900433,4.301587302,perceptual property,-39.7288306451613,3.0785984848485
army,corporal,caution,first,related,43.8,-3.531818182,script,-57.375,39.0614919354839
army,corporal,caution,first,similar,43.8,-3.531818182,script,-57.375,39.0614919354839
army,corporal,caution,first,associated,43.8,-3.531818182,script,-57.375,39.0614919354839
around,surrounding,infection,first,related,-2.18907563,61.8,synonym,-67.625,-8.82904411764707
around,surrounding,infection,first,similar,-2.18907563,61.8,synonym,-67.625,-8.82904411764707
around,surrounding,infection,first,associated,-2.18907563,61.8,synonym,-67.625,-8.82904411764707
arrogant,cocky,agenda,first,related,41.47619048,-58.20512821,synonym,25.9415322580645,-106.545454545455
arrogant,cocky,agenda,first,similar,41.47619048,-58.20512821,synonym,25.9415322580645,-106.545454545455
arrogant,cocky,agenda,first,associated,41.47619048,-58.20512821,synonym,25.9415322580645,-106.545454545455
arrow,bow,beard,first,related,-85.05952381,-47.64627364,instrument,-9.77651515151513,-31.9149560117303
arrow,bow,beard,first,similar,-85.05952381,-47.64627364,instrument,-9.77651515151513,-31.9149560117303
arrow,bow,beard,first,associated,-85.05952381,-47.64627364,instrument,-9.77651515151513,-31.9149560117303
art,sculpture,mob,first,related,4.741538462,-14.38095238,supraordinate,3.34677419354841,15.2424242424242
art,sculpture,mob,first,similar,4.741538462,-14.38095238,supraordinate,3.34677419354841,15.2424242424242
art,sculpture,mob,first,associated,4.741538462,-14.38095238,supraordinate,3.34677419354841,15.2424242424242
artist,con,stain,first,related,13.28888889,-120.4805195,fpa,-17.655303030303,4.45161290322585
artist,con,stain,first,similar,13.28888889,-120.4805195,fpa,-17.655303030303,4.45161290322585
artist,con,stain,first,associated,13.28888889,-120.4805195,fpa,-17.655303030303,4.45161290322585
ashtray,ash,blend,first,related,-26.06666667,37.30555556,instrument,-11.9304435483871,-164.25
ashtray,ash,blend,first,similar,-26.06666667,37.30555556,instrument,-11.9304435483871,-164.25
ashtray,ash,blend,first,associated,-26.06666667,37.30555556,instrument,-11.9304435483871,-164.25
asia,europe,quarter,first,related,23.76108374,31.97368421,category,-77.5625,-69.9465725806451
asia,europe,quarter,first,similar,23.76108374,31.97368421,category,-77.5625,-69.9465725806451
asia,europe,quarter,first,associated,23.76108374,31.97368421,category,-77.5625,-69.9465725806451
ask,inquire,parcel,first,related,160.6628788,-48.39984102,synonym,-5.93276515151513,-14.5483870967741
ask,inquire,parcel,first,similar,160.6628788,-48.39984102,synonym,-5.93276515151513,-14.5483870967741
ask,inquire,parcel,first,associated,160.6628788,-48.39984102,synonym,-5.93276515151513,-14.5483870967741
asleep,unconscious,lettuce,first,related,58.82857143,12.08939709,synonym,-122.873991935484,-85.029356060606
asleep,unconscious,lettuce,first,similar,58.82857143,12.08939709,synonym,-122.873991935484,-85.029356060606
asleep,unconscious,lettuce,first,associated,58.82857143,12.08939709,synonym,-122.873991935484,-85.029356060606
ass,donkey,clog,first,related,-23.99166667,-147.9047619,synonym,-75.59375,32.0698529411765
ass,donkey,clog,first,similar,-23.99166667,-147.9047619,synonym,-75.59375,32.0698529411765
ass,donkey,clog,first,associated,-23.99166667,-147.9047619,synonym,-75.59375,32.0698529411765
assistant,helper,tease,first,related,-117.4679487,-41.74458204,synonym,-13.0776515151515,-40.210685483871
assistant,helper,tease,first,similar,-117.4679487,-41.74458204,synonym,-13.0776515151515,-40.210685483871
assistant,helper,tease,first,associated,-117.4679487,-41.74458204,synonym,-13.0776515151515,-40.210685483871
assume,presume,grandpa,first,related,-28.55744681,-30.25641026,synonym,-42.530303030303,-63.03125
assume,presume,grandpa,first,similar,-28.55744681,-30.25641026,synonym,-42.530303030303,-63.03125
assume,presume,grandpa,first,associated,-28.55744681,-30.25641026,synonym,-42.530303030303,-63.03125
atom,neutron,tree,first,related,1.323076923,-76.78947368,supraordinate,19.9628543499512,61.3780241935484
atom,neutron,tree,first,similar,1.323076923,-76.78947368,supraordinate,19.9628543499512,61.3780241935484
atom,neutron,tree,first,associated,1.323076923,-76.78947368,supraordinate,19.9628543499512,61.3780241935484
attack,assault,link,first,related,57.69806763,4.55952381,synonym,-33.1875,-35.2604166666666
attack,assault,link,first,similar,57.69806763,4.55952381,synonym,-33.1875,-35.2604166666666
attack,assault,link,first,associated,57.69806763,4.55952381,synonym,-33.1875,-35.2604166666666
attempt,try,outlet,first,related,-52.30654762,2.423076923,synonym,-116.070833333333,26.858870967742
attempt,try,outlet,first,similar,-52.30654762,2.423076923,synonym,-116.070833333333,26.858870967742
attempt,try,outlet,first,associated,-52.30654762,2.423076923,synonym,-116.070833333333,26.858870967742
attic,basement,lingerie,first,related,-41.02142857,-97.08166667,antonym,-100.914314516129,41
attic,basement,lingerie,first,similar,-41.02142857,-97.08166667,antonym,-100.914314516129,41
attic,basement,lingerie,first,associated,-41.02142857,-97.08166667,antonym,-100.914314516129,41
aunt,relative,sapphire,first,related,-44.87878788,-7.695238095,supraordinate,-123.4375,10.71875
aunt,relative,sapphire,first,similar,-44.87878788,-7.695238095,supraordinate,-123.4375,10.71875
aunt,relative,sapphire,first,associated,-44.87878788,-7.695238095,supraordinate,-123.4375,10.71875
australia,kangaroo,abduct,first,related,29.29910714,-51.73684211,script,52.03125,-25.3210227272727
australia,kangaroo,abduct,first,similar,29.29910714,-51.73684211,script,52.03125,-25.3210227272727
australia,kangaroo,abduct,first,associated,29.29910714,-51.73684211,script,52.03125,-25.3210227272727
auto,car,inferior,first,related,-85.65025641,-37.18949343,synonym,-34.28125,56.1279569892473
auto,car,inferior,first,similar,-85.65025641,-37.18949343,synonym,-34.28125,56.1279569892473
auto,car,inferior,first,associated,-85.65025641,-37.18949343,synonym,-34.28125,56.1279569892473
average,norm,mars,first,related,50.11428571,-91.30701754,synonym,78.6875,-85.773185483871
average,norm,mars,first,similar,50.11428571,-91.30701754,synonym,78.6875,-85.773185483871
average,norm,mars,first,associated,50.11428571,-91.30701754,synonym,78.6875,-85.773185483871
awake,asleep,detail,first,related,20.83809524,-25.38666667,antonym,-51.875,139.277083333333
awake,asleep,detail,first,similar,20.83809524,-25.38666667,antonym,-51.875,139.277083333333
awake,asleep,detail,first,associated,20.83809524,-25.38666667,antonym,-51.875,139.277083333333
award,merit,container,first,related,9.288888889,-38.71014493,synonym,-16.4375,-181.5
award,merit,container,first,similar,9.288888889,-38.71014493,synonym,-16.4375,-181.5
award,merit,container,first,associated,9.288888889,-38.71014493,synonym,-16.4375,-181.5
aware,unaware,plaything,first,related,32.08571429,-21.63909774,antonym,62.34375,0.3125
aware,unaware,plaything,first,similar,32.08571429,-21.63909774,antonym,62.34375,0.3125
aware,unaware,plaything,first,associated,32.08571429,-21.63909774,antonym,62.34375,0.3125
away,further,language,first,related,19.18095238,-4.258333333,fpa,-18.5625,-86.6041666666666
away,further,language,first,similar,19.18095238,-4.258333333,fpa,-18.5625,-86.6041666666666
away,further,language,first,associated,19.18095238,-4.258333333,fpa,-18.5625,-86.6041666666666
ax,hatchet,admission,first,related,-5.232323232,-57.1,category,147.8125,65.9166666666666
ax,hatchet,admission,first,similar,-5.232323232,-57.1,category,147.8125,65.9166666666666
ax,hatchet,admission,first,associated,-5.232323232,-57.1,category,147.8125,65.9166666666666
baby,child,where,first,related,15.85,4.162962963,category,-73.9375,-0.9677419354839
baby,child,where,first,similar,15.85,4.162962963,category,-73.9375,-0.9677419354839
baby,child,where,first,associated,15.85,4.162962963,category,-73.9375,-0.9677419354839
back,retreat,contest,first,related,-45.47058824,45.63382594,synonym,-3.12903225806451,-19.7137096774194
back,retreat,contest,first,similar,-45.47058824,45.63382594,synonym,-3.12903225806451,-19.7137096774194
back,retreat,contest,first,associated,-45.47058824,45.63382594,synonym,-3.12903225806451,-19.7137096774194
backpack,knapsack,dice,first,related,1.563186813,117.5429864,synonym,-177.71875,9.21496212121212
backpack,knapsack,dice,first,similar,1.563186813,117.5429864,synonym,-177.71875,9.21496212121212
backpack,knapsack,dice,first,associated,1.563186813,117.5429864,synonym,-177.71875,9.21496212121212
backward,forward,parched,first,related,-22.35,-25.23076923,antonym,-75.3739919354839,65.09375
backward,forward,parched,first,similar,-22.35,-25.23076923,antonym,-75.3739919354839,65.09375
backward,forward,parched,first,associated,-22.35,-25.23076923,antonym,-75.3739919354839,65.09375
bacon,eggs,appliance,first,related,-29.03846154,-140.3011364,category,95.3538306451613,19.0333333333333
bacon,eggs,appliance,first,similar,-29.03846154,-140.3011364,category,95.3538306451613,19.0333333333333
bacon,eggs,appliance,first,associated,-29.03846154,-140.3011364,category,95.3538306451613,19.0333333333333
bad,villain,tumor,first,related,83.95864662,60,script,-30.4375,-23.4193548387096
bad,villain,tumor,first,similar,83.95864662,60,script,-30.4375,-23.4193548387096
bad,villain,tumor,first,associated,83.95864662,60,script,-30.4375,-23.4193548387096
bag,sack,chaos,first,related,-52.37320574,-34.02352941,synonym,-68.1114369501466,9.42130987292285
