isolated_context,constraint,category
[CLS] they hired a contractor to come in and [MASK] a wall of windows . [SEP],0.1818219572,2
[CLS] so she decided to [MASK] them to smoothies . [SEP],0.2621470243,3
[CLS] so she decided not to [MASK] any sugar . [SEP],0.3919487298,4
[CLS] he did not know what to [MASK] . [SEP],0.4596839547,5
"[CLS] one day , i decided to [MASK] to my pet family and bring home a kitten . [SEP]",0.5770953596,6
[CLS] i was glad to [MASK] to my collection . [SEP],0.6027305722,7
[CLS] she 's ready to [MASK] some more weight to the bar . [SEP],0.7543587983,8
[CLS] he decided to [MASK] some led lights to the bike frame and wheels . [SEP],0.8592841625,9
[CLS] she 's hoping to [MASK] some rare teddy bears to her collection . [SEP],0.9977625906,10
"[CLS] in [MASK] , he purchased his favorite player 's jersey . [SEP]",0.0753297322,1
[CLS] in [MASK] he charged a high price for his services . [SEP],0.1282626949,2
[CLS] he hired a contractor to build the new [MASK] . [SEP],0.2012652382,3
"[CLS] in [MASK] , i realized that my body was soaked in sweat . [SEP]",0.3472228125,4
"[CLS] in [MASK] , he demanded jeff to do 100 - 200 push ups . [SEP]",0.4089253098,5
[CLS] they have been a great [MASK] to our family . [SEP],0.5577630252,6
"[CLS] in [MASK] , she led us to getting a good grade . [SEP]",0.6541167647,7
"[CLS] in [MASK] , she asked me out the next day . [SEP]",0.7128819823,8
"[CLS] in [MASK] , it turned her umbrella inside out . [SEP]",0.8856349587,9
"[CLS] in [MASK] , we stayed up all night . [SEP]",0.9690443575,10
"[CLS] andy laughed , but got back up to enjoy his ice skating [MASK] . [SEP]",0.0912811533,1
"[CLS] they did so , and loved every minute of passing scenery and [MASK] . [SEP]",0.1578088291,2
[CLS] herman was glad he went on such an exciting [MASK] . [SEP],0.2677633464,3
[CLS] in the end the road trip was an [MASK] to good to pass up . [SEP],0.3556894213,4
[CLS] jack had an [MASK] go wrong by falling down a hill with jill . [SEP],0.4074334949,5
[CLS] he decided to pack up and go on a cross country [MASK] . [SEP],0.5163555741,6
[CLS] after i got home i began planning my next [MASK] . [SEP],0.6626630723,7
[CLS] but she knew he loved [MASK] and had always wanted to go skydiving . [SEP],0.7037128806,8
[CLS] rita 's dream was to go on a long hiking [MASK] on a trail . [SEP],0.8659584522,9
[CLS] the man continued on his [MASK] . [SEP],0.9615728855,10
[CLS] pim had a great time and mentally devalued his friends ' [MASK] . [SEP],0.0640413109,1
[CLS] he got [MASK] from several people . [SEP],0.1295841485,2
[CLS] he never followed his parents [MASK] . [SEP],0.2991648465,3
"[CLS] when they graduated , charles ' father gave him [MASK] . [SEP]",0.3337270543,4
[CLS] all his neighbors go to him for [MASK] . [SEP],0.4933754653,5
[CLS] bob followed his [MASK] . [SEP],0.5927820206,6
[CLS] he researched online for some [MASK] . [SEP],0.6495467126,7
"[CLS] she did n't know what to do , so she called her friend al for [MASK] . [SEP]",0.7268549502,8
[CLS] brad asked for [MASK] on how to handle the situation . [SEP],0.8172985613,9
[CLS] he asked a local for [MASK] on dining . [SEP],0.9403062761,10
[CLS] barry and his wife adopted a little girl from [MASK] . [SEP],0.0417395374,1
[CLS] uki was traveling in [MASK] . [SEP],0.1988787949,2
[CLS] the family took a vacation to [MASK] to take a safari trip . [SEP],0.2225324363,3
[CLS] he was from south [MASK] and anna was apprehensive and worried ! [SEP],0.3487887681,4
"[CLS] after finishing a discipleship school in south [MASK] , i stayed longer . [SEP]",0.4363573045,5
[CLS] i was visiting south [MASK] so a few people did n't speak good english . [SEP],0.5048710555,6
"[CLS] so in table mountain in south [MASK] , we sang with strangers ! [SEP]",0.6874776185,7
[CLS] brian left his home in south [MASK] to go to canada to study . [SEP],0.7061654925,8
"[CLS] one day , after a trip to south [MASK] , hector decides to write again ! [SEP]",0.8785242736,9
[CLS] she was accepted and spent 3 years in sub - saharan [MASK] . [SEP],0.9986652732,10
"[CLS] within a few weeks , jacob and his dog were playing [MASK] ! [SEP]",0.0809284747,1
[CLS] lisa never let her daughter to dishes [MASK] . [SEP],0.1859459579,2
[CLS] we are definitely thinking about going [MASK] next year . [SEP],0.2011333555,3
[CLS] lucius bought a sidecar in case his mother decided to ride [MASK] . [SEP],0.3842686564,4
[CLS] i was so ashamed i never stole [MASK] . [SEP],0.4636401236,5
[CLS] kevin never left food out [MASK] . [SEP],0.5273182839,6
[CLS] tom never took a girl to a zoo [MASK] . [SEP],0.6521290839,7
[CLS] it took her three days to find it [MASK] . [SEP],0.7112959325,8
[CLS] he never bought into media hype like that [MASK] . [SEP],0.8032423556,9
[CLS] paul never looked before he sat [MASK] . [SEP],0.9356688857,10
[CLS] the titans were [MASK] the crapes . [SEP],0.0959334076,1
[CLS] his friends tried to get him to join [MASK] glenn . [SEP],0.1725504547,2
[CLS] the water splashed [MASK] him on the ground . [SEP],0.2292137071,3
[CLS] she bought a huge ladder and set it up [MASK] her house . [SEP],0.3894277215,4
[CLS] he held it [MASK] the item . [SEP],0.453398481,5
[CLS] a radical group named move were the combatants [MASK] the police . [SEP],0.5925395787,6
[CLS] he brushed his car [MASK] mine . [SEP],0.631239742,7
"[CLS] cindy was considering divorce , but it was [MASK] her religion . [SEP]",0.7533848286,8
[CLS] the people she works with are discriminating [MASK] her . [SEP],0.8807434738,9
[CLS] i also worried my students would rebel [MASK] me . [SEP],0.9815376699,10
"[CLS] though , their parents did n't trust me because of my [MASK] . [SEP]",0.074092608,1
[CLS] she particularly hated expensive phones being cast aside due to [MASK] . [SEP],0.1182862781,2
[CLS] they thought he was not ready due to his [MASK] . [SEP],0.2521196306,3
[CLS] one day jeffrey was at the park and he spotted a boy that was his [MASK] . [SEP],0.367462948,4
[CLS] susanna did n't appear to [MASK] . [SEP],0.4563454688,5
[CLS] the photos were faded and damaged with [MASK] . [SEP],0.5297158062,6
[CLS] the doctor missed warning signs which she attributed to old [MASK] . [SEP],0.6257536113,7
"[CLS] by [MASK] 25 , i had competed for five years ; my wish came true ! [SEP]",0.7570349574,8
[CLS] she was very tiny for her [MASK] . [SEP],0.8901202381,9
[CLS] he is n't like most boys his [MASK] . [SEP],0.994354099,10
[CLS] tim took the [MASK] and went to the class . [SEP],0.0987941772,1
[CLS] they came to [MASK] to combine their favorite names into one . [SEP],0.1388632208,2
[CLS] the dealer backed out of the [MASK] . [SEP],0.2362041548,3
"[CLS] on the bright side , we made an [MASK] . [SEP]",0.3453913778,4
[CLS] we made an [MASK] and i ended up giving her $ 1000 dollars . [SEP],0.4200890809,5
[CLS] together alerah and her parents came to an [MASK] . [SEP],0.5843681544,6
[CLS] they had an [MASK] that they would play for an hour . [SEP],0.6234335154,7
[CLS] we signed an [MASK] for a car without air conditioning . [SEP],0.7207518369,8
[CLS] all the students nodded in [MASK] as he talked about the mirrors . [SEP],0.8619358838,9
"[CLS] however , they are not in [MASK] about what name to choose for him . [SEP]",0.949195683,10
[CLS] she used her fan to circulate [MASK] in her home . [SEP],0.0881261937,1
"[CLS] while in the [MASK] , we started having turbulence . [SEP]",0.1430871896,2
"[CLS] a few times , it went in the [MASK] . [SEP]",0.2316926122,3
[CLS] he hits a hidden rock and ascends into the [MASK] . [SEP],0.3616812974,4
[CLS] the [MASK] had to be turned on . [SEP],0.4207193851,5
[CLS] david was the best [MASK] hockey player in town . [SEP],0.5621419549,6
"[CLS] as he threw his cap in the [MASK] , he smiled . [SEP]",0.6329562068,7
[CLS] the library has been a good source because they have [MASK] conditioning . [SEP],0.7765855491,8
[CLS] she let in a huge gust of very cold [MASK] ! [SEP],0.869325012,9
[CLS] my grandpa was an [MASK] traffic controller before he retired . [SEP],0.997923702,10
[CLS] the [MASK] went far and the boy chased after . [SEP],0.0980381742,1
[CLS] he traveled by [MASK] . [SEP],0.1584317535,2
[CLS] today i rode on an [MASK] . [SEP],0.2056430951,3
[CLS] sam was an [MASK] pilot . [SEP],0.3503287137,4
[CLS] but randy was jumping out an [MASK] with a parachute . [SEP],0.4657784253,5
[CLS] francine has never been on an [MASK] before . [SEP],0.5799133629,6
[CLS] she saved her money and got on an [MASK] . [SEP],0.6729001701,7
[CLS] marcus was sitting on an [MASK] calmly . [SEP],0.7500459552,8
[CLS] the first time i got on an [MASK] i was so scared . [SEP],0.8344573975,9
[CLS] phyllis was afraid of flying on an [MASK] . [SEP],0.90909719470000006,10
[CLS] so he decided to try some [MASK] . [SEP],0.0717596486,1
[CLS] mike decided to stop drinking [MASK] from then on . [SEP],0.1936196461,2
[CLS] tim had a problem with [MASK] . [SEP],0.2888552174,3
[CLS] before i went to the labor union i had to get health and [MASK] cards . [SEP],0.3888057172,4
[CLS] he imbibed [MASK] until an idea presented itself . [SEP],0.4485222846,5
[CLS] she could n't stomach [MASK] and so got drunk easily . [SEP],0.5441547036,6
"[CLS] he did find , though , that [MASK] worked better , anyway . [SEP]",0.6293443143,7
[CLS] she had gotten [MASK] poisoning from too much liquor . [SEP],0.791359812,8
[CLS] the driver got out and wreaked of [MASK] . [SEP],0.8049897552,9
[CLS] she flinched when she found an [MASK] bottle under her bed . [SEP],0.9352759123,10
[CLS] it was [MASK] and it moved through the glass . [SEP],0.0784920808,1
[CLS] when the squid arrived it was still [MASK] . [SEP],0.1589360237,2
[CLS] i felt [MASK] and in touch with nature . [SEP],0.2882500514,3
[CLS] she thought a fish would be an easy pet to keep [MASK] . [SEP],0.3663357794,4
[CLS] the people became angry and burned her [MASK] for it . [SEP],0.4317105711,5
[CLS] i am so glad i read herb kent kool gent book while he was still [MASK] . [SEP],0.592084378,6
[CLS] she felt so lucky and grateful to be [MASK] ! [SEP],0.6596236378,7
[CLS] jim feels very lucky to be [MASK] . [SEP],0.7308999896,8
[CLS] but then she realized she was lucky to be [MASK] . [SEP],0.8432949185,9
"[CLS] upon landing , joe was grateful to still be [MASK] ! [SEP]",0.9406057596,10
[CLS] he even made a movie [MASK] about airplanes . [SEP],0.0959830321,1
[CLS] so chewing gum can help with your concentration after [MASK] . [SEP],0.1643745825,2
[CLS] the girls were [MASK] playing during recess . [SEP],0.2445778027,3
[CLS] she attended [MASK] of the real estate classes . [SEP],0.3336725682,4
[CLS] over [MASK] she was happy to be in pretty good shape . [SEP],0.4834877774,5
[CLS] [MASK] of his friends wanted them . [SEP],0.5142401308,6
[CLS] he stayed up [MASK] night until it passed . [SEP],0.6576300859,7
[CLS] [MASK] his friends at school told joey they loved his new hair . [SEP],0.7405217588,8
[CLS] he spent [MASK] his time on the farm riding horses . [SEP],0.807104975,9
[CLS] instead he laid around [MASK] day . [SEP],0.9853260517,10
[CLS] my health demanded i delegate stressful tasks and [MASK] play time . [SEP],0.0804147236,1
[CLS] unfortunately it was too late and the store did n't [MASK] it . [SEP],0.116259221,2
[CLS] she begged her parents to [MASK] it . [SEP],0.2257167399,3
[CLS] jimbo is pleased his boss does not [MASK] smoking . [SEP],0.3259318173,4
[CLS] ethel could n't [MASK] him to go more than an hour without calling . [SEP],0.4951456487,5
[CLS] it was setup to [MASK] him to use his mouse to sign . [SEP],0.5192518234,6
[CLS] he did n't [MASK] mary to borrow his card again until she pays him back . [SEP],0.6274929047,7
[CLS] she would not [MASK] her to have the greasy donut . [SEP],0.7485278845,8
[CLS] they did n't [MASK] their kids to go anywhere . [SEP],0.8252508938,9
[CLS] kenneth decided never to [MASK] another argument last so long . [SEP],0.9813140631,10
[CLS] it began to feel rather [MASK] . [SEP],0.099464152,1
[CLS] alma was home [MASK] . [SEP],0.1928519309,2
[CLS] she decided to get a pet to make her feel less [MASK] . [SEP],0.2738624588,3
[CLS] sara was mad that her friend left her [MASK] at the pool . [SEP],0.3885020092,4
[CLS] now i 'm sitting at home [MASK] while he 's in jail for battery . [SEP],0.4456883669,5
"[CLS] rhonda was suddenly afraid , all [MASK] with the ancient mummy . [SEP]",0.5927394629,6
[CLS] reen has a neighbor who lives [MASK] . [SEP],0.6291282177,7
[CLS] bob was left home [MASK] by his parents . [SEP],0.7582591772,8
[CLS] she was nervous about walking [MASK] between norms at night . [SEP],0.8659778535,9
[CLS] nic did n't like to be in a crowd [MASK] and started panicking . [SEP],0.90031901,10
[CLS] she then realized it would be [MASK] . [SEP],0.0517148282,1
[CLS] sam managed to gain back control and everyone was [MASK] . [SEP],0.1055615358,2
[CLS] he thought they were doing [MASK] . [SEP],0.2966668084,3
[CLS] the camp supervisor started getting calls asking if they were [MASK] . [SEP],0.307244502,4
[CLS] she got help and everything was [MASK] . [SEP],0.4451325536,5
"[CLS] with that in place , he did [MASK] . [SEP]",0.5485493988,6
[CLS] the professor noticed her and asked if everything was [MASK] . [SEP],0.6161128283,7
[CLS] the dinner was going [MASK] but we were worried about it . [SEP],0.7225190103,8
"[CLS] as soon as i asked him if everything is [MASK] , he ran . [SEP]",0.8117058575,9
[CLS] luckily she made it home [MASK] but it was a close call . [SEP],0.9109554887,10
[CLS] brian and his dog [MASK] went for a walk around the block . [SEP],0.0588829033,1
[CLS] she vows to [MASK] double check against her list next time . [SEP],0.1052460633,2
[CLS] sam was [MASK] the better basketball player . [SEP],0.2755325958,3
[CLS] they were [MASK] coming back home full of mud . [SEP],0.350267306,4
[CLS] they were [MASK] showing off . [SEP],0.4789714664,5
[CLS] stuart had [MASK] seen the newest movies out . [SEP],0.535903722,6
"[CLS] growing up we [MASK] had snowmobiles , quads and other toys . [SEP]",0.6016683131,7
[CLS] there was [MASK] plenty of sand but no water . [SEP],0.7973043025,8
[CLS] she became the swimmer she [MASK] wanted to be . [SEP],0.8306312859,9
[CLS] it [MASK] chase him to school . [SEP],0.9085454345,10
[CLS] the [MASK] arrived in record time . [SEP],0.0474158507,1
"[CLS] they carried me on a bed from the [MASK] , strapped in . [SEP]",0.1171200722,2
[CLS] he was taken to the hospital by helicopter [MASK] . [SEP],0.2811013311,3
[CLS] they sent an [MASK] . [SEP],0.3282781839,4
[CLS] the 911 dispatcher sent over an [MASK] . [SEP],0.4456331134,5
"[CLS] there , she called an [MASK] . [SEP]",0.5276449993,6
[CLS] an [MASK] took stanley to the hospital . [SEP],0.6319845617,7
[CLS] his wife called for an [MASK] . [SEP],0.7876105309,8
[CLS] he could no longer bear it so he called for an [MASK] . [SEP],0.8373737633,9
[CLS] her friends had to call an [MASK] . [SEP],0.9940635562,10
[CLS] but she recently moved to [MASK] . [SEP],0.088171009,1
[CLS] the young woman was excited to come to [MASK] . [SEP],0.1345730014,2
[CLS] [MASK] decided to launch an air attack on japan . [SEP],0.2664292678,3
[CLS] they were going to drive across [MASK] . [SEP],0.3368219882,4
[CLS] liam was going to [MASK] to work in a shop with his uncle . [SEP],0.4989281893,5
[CLS] [MASK] had spent years embroiled in the vietnam war . [SEP],0.5158322453,6
"[CLS] eventually , she decided she wanted to help a child in [MASK] . [SEP]",0.6978000104,7
[CLS] frederick started the history of slavery in [MASK] club on his campus . [SEP],0.7992912233,8
[CLS] trevor was traveling in south [MASK] . [SEP],0.8160055876,9
[CLS] donald went on to become the president of the united states of [MASK] . [SEP],0.9987837374,10
[CLS] the [MASK] regretted not doing more research before buying a ticket . [SEP],0.0668605343,1
[CLS] ana went to the [MASK] embassy and explained the problem . [SEP],0.1277713031,2
[CLS] some of the coins were [MASK] dollar coins . [SEP],0.2132436037,3
[CLS] the story was about a korean [MASK] family . [SEP],0.3087922484,4
[CLS] an [MASK] man went on a family vacation in mexico . [SEP],0.4464648664,5
[CLS] ray went on to become the [MASK] lightweight champion . [SEP],0.5371762514,6
[CLS] chung is a korean [MASK] author . [SEP],0.6671655178,7
[CLS] kayla tried out for [MASK] idol . [SEP],0.7772338688,8
[CLS] tameka found an [MASK] express card on the ground outside . [SEP],0.8835012317,9
[CLS] she always told everyone she was a native [MASK] . [SEP],0.9361806512,10
[CLS] he was happy with the [MASK] . [SEP],0.068571372,1
[CLS] the lottery jackpot had grew to a historic [MASK] this time . [SEP],0.1979676634,2
[CLS] sarah was almost scared by the [MASK] of options given there . [SEP],0.2522646934,3
[CLS] the [MASK] he earned was $ 1000 dollars . [SEP],0.3768138215,4
[CLS] tom made a good [MASK] of money on it . [SEP],0.4195651859,5
[CLS] he gasped when he saw the dollar [MASK] . [SEP],0.5726174414,6
[CLS] upon arriving at the terminal he was amazed by the [MASK] of people . [SEP],0.6032619178,7
[CLS] now he makes a significant [MASK] more money . [SEP],0.7439740598,8
[CLS] she doubled the [MASK] of pictures she takes . [SEP],0.8151808679,9
[CLS] adam is trying reduce the [MASK] of debt he has . [SEP],0.9162380099,10
[CLS] tim was able to control his [MASK] with the help of doing yoga . [SEP],0.0889209211,1
[CLS] he stood up from his seat in [MASK] and asked who said the joke . [SEP],0.1529520862,2
[CLS] onlookers saw [MASK] . [SEP],0.2953590453,3
[CLS] but they talked her through her [MASK] and shame . [SEP],0.3066285104,4
[CLS] donald felt [MASK] directed at his publisher . [SEP],0.4365446568,5
[CLS] pat slammed the door shut in [MASK] . [SEP],0.5807461143,6
[CLS] he shook the machine hard in [MASK] . [SEP],0.6253819764,7
"[CLS] in [MASK] , they made me stay in the hot car while they went shopping . [SEP]",0.7860476077,8
[CLS] i found out her son had destroyed them in a fit of [MASK] . [SEP],0.8331155479,9
[CLS] charles ' mother said her son had an [MASK] management problem . [SEP],0.9142314196,10
"[CLS] [MASK] , corinne went back to her room to apply more make - up . [SEP]",0.0900152884,1
[CLS] willie did n't know if he did this on purpose but was [MASK] either way . [SEP],0.1416166835,2
[CLS] they began to talk to the monkeys who became very [MASK] . [SEP],0.2111255787,3
"[CLS] a taxi was parked in the driveway , and the driver looked [MASK] . [SEP]",0.3408604711,4
[CLS] sandra got [MASK] fast . [SEP],0.4470641166,5
[CLS] she got [MASK] during our game and flipped the board over . [SEP],0.5308303535,6
[CLS] teresa drove to church very [MASK] that morning . [SEP],0.6424312294,7
[CLS] she was very [MASK] because she wanted to go on her school trip . [SEP],0.7247362435,8
[CLS] they got into a fight and went to sleep [MASK] . [SEP],0.8672001958,9
[CLS] chris got [MASK] and shoved the drunk woman to the ground . [SEP],0.9407652915,10
[CLS] it was the most complete example of the [MASK] ever found . [SEP],0.0437047742,1
[CLS] i disposed of the [MASK] and my house no longer smelled foul . [SEP],0.1064318977,2
[CLS] monkeys were her favorite [MASK] ! [SEP],0.2384903505,3
[CLS] one day a tiny [MASK] came to his door . [SEP],0.3446017653,4
[CLS] he decided as he got home that elephants were his new favorite [MASK] . [SEP],0.4125875682,5
[CLS] his mom took him to the [MASK] shelter . [SEP],0.5729686916,6
[CLS] she decided that she wanted to check out her local [MASK] shelter . [SEP],0.6367502213,7
[CLS] i 'm glad we called [MASK] control to come get the cats . [SEP],0.7438791096,8
[CLS] jo contacted an [MASK] welfare agency that investigated the store . [SEP],0.8140081763,9
[CLS] the first [MASK] she saw was a little black and white puppy . [SEP],0.9786559045,10
[CLS] he held the [MASK] and gently aligned it back to normal . [SEP],0.0415630993,1
[CLS] the [MASK] felt very bad and she had to rest it for a week . [SEP],0.1486471109,2
[CLS] julie felt a tingling on her [MASK] . [SEP],0.2630889565,3
[CLS] while they were hiking bob twisted his [MASK] . [SEP],0.3559299111,4
[CLS] one time she tripped and hurt her [MASK] . [SEP],0.409097597,5
[CLS] dennis was trying to hit the ball when he sprained his [MASK] . [SEP],0.5608663857,6
[CLS] i have an uncomfortable cyst in my armpit and a sprained [MASK] . [SEP],0.6627848446,7
[CLS] she had sprained her [MASK] . [SEP],0.7711804211,8
[CLS] she tripped and twisted her [MASK] . [SEP],0.8649119735,9
[CLS] he rolled his [MASK] and screamed . [SEP],0.9425265491,10
[CLS] my daughter did not [MASK] her . [SEP],0.084002953,1
[CLS] the teacher and the assistant principal were unsure of the [MASK] . [SEP],0.1782047898,2
[CLS] a road trip was the [MASK] for this . [SEP],0.2473152354,3
[CLS] she forgot the [MASK] to it because of nervousness . [SEP],0.305023253,4
[CLS] bill was told he would receive an [MASK] via email . [SEP],0.4276128858,5
[CLS] a teacher there has the students [MASK] an sat question every class . [SEP],0.5048286915,6
[CLS] jim stepped out of the gym to [MASK] the call . [SEP],0.6393927634,7
[CLS] there was no [MASK] when larry knocked . [SEP],0.7791266739,8
[CLS] the teacher checked his [MASK] . [SEP],0.8270479739,9
[CLS] i really needed an [MASK] to this problem . [SEP],0.9226343036,10
[CLS] the [MASK] problem was discovered by the landlord . [SEP],0.07630313,1
[CLS] he watched as smoke came out of every [MASK] hole in the area . [SEP],0.1220482402,2
[CLS] lanie stepped into an [MASK] pile . [SEP],0.2002192326,3
[CLS] she said she killed an [MASK] and was praying for it to go to heaven . [SEP],0.3843148649,4
[CLS] anna wanted an [MASK] farm . [SEP],0.4775385857,5
[CLS] the queen [MASK] moved to the more spacious neighboring hill . [SEP],0.5375821888,6
[CLS] [MASK] was angry that he had just failed his motorcycle license test . [SEP],0.6430646181,7
[CLS] daddy told rick it was an [MASK] . [SEP],0.7226159871,8
[CLS] she would see people using poisons or stomping on [MASK] hills . [SEP],0.8063863218,9
[CLS] they doctors scanned [MASK] and tested her . [SEP],0.9848700464,10
[CLS] his mom noticed trevor 's [MASK] and calmed him down . [SEP],0.0985378549,1
[CLS] jane had been going to a counselor for a few months for [MASK] . [SEP],0.1028573513,2
"[CLS] however , he started to have more [MASK] as time flew . [SEP]",0.2247823626,3
[CLS] tom had social [MASK] . [SEP],0.3247229755,4
[CLS] she felt a rush of [MASK] and started to panic . [SEP],0.4026464373,5
[CLS] finally she took [MASK] medicine to feel better . [SEP],0.546482563,6
"[CLS] they diagnosed him with adhd , [MASK] and depression . [SEP]",0.6890323162,7
[CLS] alex then knew he had to work on his [MASK] problems . [SEP],0.7859431505,8
[CLS] she got an [MASK] attack . [SEP],0.8100303113,9
[CLS] gloria had depression and [MASK] not controlled with medication . [SEP],0.9708015025,10
[CLS] they started to grow [MASK] . [SEP],0.0965888836,1
[CLS] his old one fell [MASK] . [SEP],0.1834163219,2
"[CLS] however to her dismay , she found out her place was ripped [MASK] . [SEP]",0.247515507,3
[CLS] but the cake fell [MASK] the night before ! [SEP],0.3285787031,4
[CLS] i took it [MASK] and found the problem . [SEP],0.480617404,5
[CLS] they spent the night [MASK] and got ready the next day . [SEP],0.5546936542,6
[CLS] the bridge was torn [MASK] by the first large storm . [SEP],0.6723452359,7
[CLS] tim and bonnie had to spend their 15th anniversary [MASK] . [SEP],0.7838543355,8
[CLS] they said they studied together and sat far [MASK] during the test . [SEP],0.8503094614,9
[CLS] he felt like his world was falling [MASK] . [SEP],0.9365926981,10
[CLS] tim was tired of how his [MASK] looked . [SEP],0.0846859142,1
[CLS] they forced amy out of her [MASK] . [SEP],0.1621952578,2
[CLS] my son and his friend delivered a rug to our [MASK] . [SEP],0.2865404636,3
[CLS] jack is living in a new [MASK] with 2 other women . [SEP],0.3963034153,4
[CLS] tim redecorated the [MASK] while his girlfriend was working . [SEP],0.4188875556,5
"[CLS] when i got to my front door , i heard voices inside my [MASK] . [SEP]",0.5861520469,6
[CLS] will had had enough of [MASK] living . [SEP],0.6046653539,7
[CLS] mike was feeding ducks at a pond near his [MASK] . [SEP],0.7552168071,8
"[CLS] she lived in a second floor [MASK] , though . [SEP]",0.8171509206,9
[CLS] renting an [MASK] in her city was very expensive . [SEP],0.9939773381,10
