category,constraint,target,related,unrelated,context,related_context,unrelated_context
open_class,low,abuse,use,disgusting,[CLS] he faced endless [MASK] from his friends as a result . [SEP],[CLS] use. he faced endless [MASK] from his friends as a result . [SEP],[CLS] disgusting. he faced endless [MASK] from his friends as a result . [SEP]
open_class,low,abuse,torture,heroin,[CLS] he faced endless [MASK] from his friends as a result . [SEP],[CLS] torture. he faced endless [MASK] from his friends as a result . [SEP],[CLS] heroin. he faced endless [MASK] from his friends as a result . [SEP]
open_class,high,accept,reject,jock,"[CLS] i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] reject. i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] jock. i apologized , but he said he did n't [MASK] my apology . [SEP]"
open_class,high,accept,forgive,famous,"[CLS] i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] forgive. i apologized , but he said he did n't [MASK] my apology . [SEP]","[CLS] famous. i apologized , but he said he did n't [MASK] my apology . [SEP]"
open_class,low,accept,reject,jock,[CLS] chad attempted to [MASK] a new task . [SEP],[CLS] reject. chad attempted to [MASK] a new task . [SEP],[CLS] jock. chad attempted to [MASK] a new task . [SEP]
open_class,low,accept,forgive,famous,[CLS] chad attempted to [MASK] a new task . [SEP],[CLS] forgive. chad attempted to [MASK] a new task . [SEP],[CLS] famous. chad attempted to [MASK] a new task . [SEP]
open_class_problems,high,account,checking,now,[CLS] tom needed to get a bank [MASK] . [SEP],[CLS] checking. tom needed to get a bank [MASK] . [SEP],[CLS] now. tom needed to get a bank [MASK] . [SEP]
open_class_problems,high,account,joint,scalpel,[CLS] tom needed to get a bank [MASK] . [SEP],[CLS] joint. tom needed to get a bank [MASK] . [SEP],[CLS] scalpel. tom needed to get a bank [MASK] . [SEP]
open_class_problems,low,account,checking,now,[CLS] tom was looking at his bank [MASK] . [SEP],[CLS] checking. tom was looking at his bank [MASK] . [SEP],[CLS] now. tom was looking at his bank [MASK] . [SEP]
open_class_problems,low,account,joint,scalpel,[CLS] tom was looking at his bank [MASK] . [SEP],[CLS] joint. tom was looking at his bank [MASK] . [SEP],[CLS] scalpel. tom was looking at his bank [MASK] . [SEP]
open_class,low,ache,stomach,reflection,[CLS] he threw up constantly and had a stomach [MASK] . [SEP],[CLS] stomach. he threw up constantly and had a stomach [MASK] . [SEP],[CLS] reflection. he threw up constantly and had a stomach [MASK] . [SEP]
open_class,low,ache,head,goo,[CLS] he threw up constantly and had a stomach [MASK] . [SEP],[CLS] head. he threw up constantly and had a stomach [MASK] . [SEP],[CLS] goo. he threw up constantly and had a stomach [MASK] . [SEP]
open_class,high,ache,stomach,reflection,[CLS] one day he got a tummy [MASK] from the grease . [SEP],[CLS] stomach. one day he got a tummy [MASK] from the grease . [SEP],[CLS] reflection. one day he got a tummy [MASK] from the grease . [SEP]
open_class,high,ache,head,goo,[CLS] one day he got a tummy [MASK] from the grease . [SEP],[CLS] head. one day he got a tummy [MASK] from the grease . [SEP],[CLS] goo. one day he got a tummy [MASK] from the grease . [SEP]
open_class,low,achieve,goal,girl,[CLS] mike was able to [MASK] a healthy weight . [SEP],[CLS] goal. mike was able to [MASK] a healthy weight . [SEP],[CLS] girl. mike was able to [MASK] a healthy weight . [SEP]
open_class,low,achieve,strive,taste,[CLS] mike was able to [MASK] a healthy weight . [SEP],[CLS] strive. mike was able to [MASK] a healthy weight . [SEP],[CLS] taste. mike was able to [MASK] a healthy weight . [SEP]
open_class,high,achieve,goal,girl,[CLS] he decided to move to california to [MASK] his dreams . [SEP],[CLS] goal. he decided to move to california to [MASK] his dreams . [SEP],[CLS] girl. he decided to move to california to [MASK] his dreams . [SEP]
open_class,high,achieve,strive,taste,[CLS] he decided to move to california to [MASK] his dreams . [SEP],[CLS] strive. he decided to move to california to [MASK] his dreams . [SEP],[CLS] taste. he decided to move to california to [MASK] his dreams . [SEP]
open_class,low,act,perform,frisk,[CLS] the children began to [MASK] in a hyper manner . [SEP],[CLS] perform. the children began to [MASK] in a hyper manner . [SEP],[CLS] frisk. the children began to [MASK] in a hyper manner . [SEP]
open_class,low,act,pretend,ton,[CLS] the children began to [MASK] in a hyper manner . [SEP],[CLS] pretend. the children began to [MASK] in a hyper manner . [SEP],[CLS] ton. the children began to [MASK] in a hyper manner . [SEP]
open_class,high,act,perform,frisk,[CLS] they were happily until the teacher started to [MASK] serious . [SEP],[CLS] perform. they were happily until the teacher started to [MASK] serious . [SEP],[CLS] frisk. they were happily until the teacher started to [MASK] serious . [SEP]
open_class,high,act,pretend,ton,[CLS] they were happily until the teacher started to [MASK] serious . [SEP],[CLS] pretend. they were happily until the teacher started to [MASK] serious . [SEP],[CLS] ton. they were happily until the teacher started to [MASK] serious . [SEP]
open_class,high,action,reaction,dip,"[CLS] john relaxed , enjoying his chinese food and [MASK] movies . [SEP]","[CLS] reaction. john relaxed , enjoying his chinese food and [MASK] movies . [SEP]","[CLS] dip. john relaxed , enjoying his chinese food and [MASK] movies . [SEP]"
open_class,high,action,consequence,trade,"[CLS] john relaxed , enjoying his chinese food and [MASK] movies . [SEP]","[CLS] consequence. john relaxed , enjoying his chinese food and [MASK] movies . [SEP]","[CLS] trade. john relaxed , enjoying his chinese food and [MASK] movies . [SEP]"
open_class,low,action,reaction,dip,[CLS] randy and juan were watching an [MASK] . [SEP],[CLS] reaction. randy and juan were watching an [MASK] . [SEP],[CLS] dip. randy and juan were watching an [MASK] . [SEP]
open_class,low,action,consequence,trade,[CLS] randy and juan were watching an [MASK] . [SEP],[CLS] consequence. randy and juan were watching an [MASK] . [SEP],[CLS] trade. randy and juan were watching an [MASK] . [SEP]
open_class,low,active,hyper,disperse,[CLS] jason was a very [MASK] man who loved skiing . [SEP],[CLS] hyper. jason was a very [MASK] man who loved skiing . [SEP],[CLS] disperse. jason was a very [MASK] man who loved skiing . [SEP]
open_class,low,active,passive,virtue,[CLS] jason was a very [MASK] man who loved skiing . [SEP],[CLS] passive. jason was a very [MASK] man who loved skiing . [SEP],[CLS] virtue. jason was a very [MASK] man who loved skiing . [SEP]
open_class,high,active,hyper,disperse,[CLS] carrie was in [MASK] labor . [SEP],[CLS] hyper. carrie was in [MASK] labor . [SEP],[CLS] disperse. carrie was in [MASK] labor . [SEP]
open_class,high,active,passive,virtue,[CLS] carrie was in [MASK] labor . [SEP],[CLS] passive. carrie was in [MASK] labor . [SEP],[CLS] virtue. carrie was in [MASK] labor . [SEP]
open_class,low,actor,actress,coast,[CLS] lenny is an [MASK] . [SEP],[CLS] actress. lenny is an [MASK] . [SEP],[CLS] coast. lenny is an [MASK] . [SEP]
open_class,low,actor,comedian,wasted,[CLS] lenny is an [MASK] . [SEP],[CLS] comedian. lenny is an [MASK] . [SEP],[CLS] wasted. lenny is an [MASK] . [SEP]
open_class,high,actor,actress,coast,[CLS] anita wanted to sleep but the [MASK] suggested she leave . [SEP],[CLS] actress. anita wanted to sleep but the [MASK] suggested she leave . [SEP],[CLS] coast. anita wanted to sleep but the [MASK] suggested she leave . [SEP]
open_class,high,actor,comedian,wasted,[CLS] anita wanted to sleep but the [MASK] suggested she leave . [SEP],[CLS] comedian. anita wanted to sleep but the [MASK] suggested she leave . [SEP],[CLS] wasted. anita wanted to sleep but the [MASK] suggested she leave . [SEP]
open_class,high,actress,actor,four,[CLS] monica always wanted to become a big [MASK] . [SEP],[CLS] actor. monica always wanted to become a big [MASK] . [SEP],[CLS] four. monica always wanted to become a big [MASK] . [SEP]
open_class,high,actress,bullock,forbidden,[CLS] monica always wanted to become a big [MASK] . [SEP],[CLS] bullock. monica always wanted to become a big [MASK] . [SEP],[CLS] forbidden. monica always wanted to become a big [MASK] . [SEP]
open_class,low,actress,actor,four,[CLS] mandy was a struggling [MASK] . [SEP],[CLS] actor. mandy was a struggling [MASK] . [SEP],[CLS] four. mandy was a struggling [MASK] . [SEP]
open_class,low,actress,bullock,forbidden,[CLS] mandy was a struggling [MASK] . [SEP],[CLS] bullock. mandy was a struggling [MASK] . [SEP],[CLS] forbidden. mandy was a struggling [MASK] . [SEP]
open_class_problems,high,add,sum,paradise,[CLS] but then he [MASK] too little . [SEP],[CLS] sum. but then he [MASK] too little . [SEP],[CLS] paradise. but then he [MASK] too little . [SEP]
open_class_problems,high,add,numbers,leaf,[CLS] but then he [MASK] too little . [SEP],[CLS] numbers. but then he [MASK] too little . [SEP],[CLS] leaf. but then he [MASK] too little . [SEP]
open_class_problems,low,add,sum,paradise,[CLS] tim did not know how to [MASK] . [SEP],[CLS] sum. tim did not know how to [MASK] . [SEP],[CLS] paradise. tim did not know how to [MASK] . [SEP]
open_class_problems,low,add,numbers,leaf,[CLS] tim did not know how to [MASK] . [SEP],[CLS] numbers. tim did not know how to [MASK] . [SEP],[CLS] leaf. tim did not know how to [MASK] . [SEP]
open_class,high,addition,subtraction,instructions,[CLS] the frog was a great new [MASK] to his house ! [SEP],[CLS] subtraction. the frog was a great new [MASK] to his house ! [SEP],[CLS] instructions. the frog was a great new [MASK] to his house ! [SEP]
open_class,high,addition,extension,valentine,[CLS] the frog was a great new [MASK] to his house ! [SEP],[CLS] extension. the frog was a great new [MASK] to his house ! [SEP],[CLS] valentine. the frog was a great new [MASK] to his house ! [SEP]
open_class,low,addition,subtraction,instructions,"[CLS] in [MASK] , abby learned that there were even camping grounds there . [SEP]","[CLS] subtraction. in [MASK] , abby learned that there were even camping grounds there . [SEP]","[CLS] instructions. in [MASK] , abby learned that there were even camping grounds there . [SEP]"
open_class,low,addition,extension,valentine,"[CLS] in [MASK] , abby learned that there were even camping grounds there . [SEP]","[CLS] extension. in [MASK] , abby learned that there were even camping grounds there . [SEP]","[CLS] valentine. in [MASK] , abby learned that there were even camping grounds there . [SEP]"
open_class,high,adventure,explorer,wary,"[CLS] while nervous , gary knew this was going to be an [MASK] . [SEP]","[CLS] explorer. while nervous , gary knew this was going to be an [MASK] . [SEP]","[CLS] wary. while nervous , gary knew this was going to be an [MASK] . [SEP]"
open_class,high,adventure,conquest,intake,"[CLS] while nervous , gary knew this was going to be an [MASK] . [SEP]","[CLS] conquest. while nervous , gary knew this was going to be an [MASK] . [SEP]","[CLS] intake. while nervous , gary knew this was going to be an [MASK] . [SEP]"
open_class,low,adventure,explorer,wary,[CLS] jerry started to feel excited for his new [MASK] . [SEP],[CLS] explorer. jerry started to feel excited for his new [MASK] . [SEP],[CLS] wary. jerry started to feel excited for his new [MASK] . [SEP]
open_class,low,adventure,conquest,intake,[CLS] jerry started to feel excited for his new [MASK] . [SEP],[CLS] conquest. jerry started to feel excited for his new [MASK] . [SEP],[CLS] intake. jerry started to feel excited for his new [MASK] . [SEP]
open_class,high,advice,suggest,no,[CLS] he asked his best friend for [MASK] . [SEP],[CLS] suggest. he asked his best friend for [MASK] . [SEP],[CLS] no. he asked his best friend for [MASK] . [SEP]
open_class,high,advice,advise,text,[CLS] he asked his best friend for [MASK] . [SEP],[CLS] advise. he asked his best friend for [MASK] . [SEP],[CLS] text. he asked his best friend for [MASK] . [SEP]
open_class,low,advice,suggest,no,[CLS] she decided to listen to my [MASK] . [SEP],[CLS] suggest. she decided to listen to my [MASK] . [SEP],[CLS] no. she decided to listen to my [MASK] . [SEP]
open_class,low,advice,advise,text,[CLS] she decided to listen to my [MASK] . [SEP],[CLS] advise. she decided to listen to my [MASK] . [SEP],[CLS] text. she decided to listen to my [MASK] . [SEP]
open_class,low,africa,continent,threat,[CLS] she got to travel to [MASK] to educate young children . [SEP],[CLS] continent. she got to travel to [MASK] to educate young children . [SEP],[CLS] threat. she got to travel to [MASK] to educate young children . [SEP]
open_class,low,africa,hunger,straight,[CLS] she got to travel to [MASK] to educate young children . [SEP],[CLS] hunger. she got to travel to [MASK] to educate young children . [SEP],[CLS] straight. she got to travel to [MASK] to educate young children . [SEP]
open_class,high,africa,continent,threat,[CLS] leila went on safari in [MASK] . [SEP],[CLS] continent. leila went on safari in [MASK] . [SEP],[CLS] threat. leila went on safari in [MASK] . [SEP]
open_class,high,africa,hunger,straight,[CLS] leila went on safari in [MASK] . [SEP],[CLS] hunger. leila went on safari in [MASK] . [SEP],[CLS] straight. leila went on safari in [MASK] . [SEP]
open_class,high,again,repeat,overwhelm,[CLS] alexandria never made spaghetti ever [MASK] . [SEP],[CLS] repeat. alexandria never made spaghetti ever [MASK] . [SEP],[CLS] overwhelm. alexandria never made spaghetti ever [MASK] . [SEP]
open_class,high,again,never,cop,[CLS] alexandria never made spaghetti ever [MASK] . [SEP],[CLS] never. alexandria never made spaghetti ever [MASK] . [SEP],[CLS] cop. alexandria never made spaghetti ever [MASK] . [SEP]
open_class,low,again,repeat,overwhelm,"[CLS] last night , they beat carolina [MASK] and looked good doing it . [SEP]","[CLS] repeat. last night , they beat carolina [MASK] and looked good doing it . [SEP]","[CLS] overwhelm. last night , they beat carolina [MASK] and looked good doing it . [SEP]"
open_class,low,again,never,cop,"[CLS] last night , they beat carolina [MASK] and looked good doing it . [SEP]","[CLS] never. last night , they beat carolina [MASK] and looked good doing it . [SEP]","[CLS] cop. last night , they beat carolina [MASK] and looked good doing it . [SEP]"
open_class,high,age,years,rip,[CLS] he learns how to play several instruments at a young [MASK] . [SEP],[CLS] years. he learns how to play several instruments at a young [MASK] . [SEP],[CLS] rip. he learns how to play several instruments at a young [MASK] . [SEP]
open_class,high,age,mature,professor,[CLS] he learns how to play several instruments at a young [MASK] . [SEP],[CLS] mature. he learns how to play several instruments at a young [MASK] . [SEP],[CLS] professor. he learns how to play several instruments at a young [MASK] . [SEP]
open_class,low,age,years,rip,"[CLS] by [MASK] 22 , he was the ceo was a multi - million dollar company . [SEP]","[CLS] years. by [MASK] 22 , he was the ceo was a multi - million dollar company . [SEP]","[CLS] rip. by [MASK] 22 , he was the ceo was a multi - million dollar company . [SEP]"
open_class,low,age,mature,professor,"[CLS] by [MASK] 22 , he was the ceo was a multi - million dollar company . [SEP]","[CLS] mature. by [MASK] 22 , he was the ceo was a multi - million dollar company . [SEP]","[CLS] professor. by [MASK] 22 , he was the ceo was a multi - million dollar company . [SEP]"
open_class,high,agreement,contract,pro,[CLS] two weeks later i found out that marty had broken our [MASK] . [SEP],[CLS] contract. two weeks later i found out that marty had broken our [MASK] . [SEP],[CLS] pro. two weeks later i found out that marty had broken our [MASK] . [SEP]
open_class,high,agreement,negotiation,fancy,[CLS] two weeks later i found out that marty had broken our [MASK] . [SEP],[CLS] negotiation. two weeks later i found out that marty had broken our [MASK] . [SEP],[CLS] fancy. two weeks later i found out that marty had broken our [MASK] . [SEP]
open_class,low,agreement,contract,pro,[CLS] now they made an [MASK] on who can wear the shoes on what day . [SEP],[CLS] contract. now they made an [MASK] on who can wear the shoes on what day . [SEP],[CLS] pro. now they made an [MASK] on who can wear the shoes on what day . [SEP]
open_class,low,agreement,negotiation,fancy,[CLS] now they made an [MASK] on who can wear the shoes on what day . [SEP],[CLS] negotiation. now they made an [MASK] on who can wear the shoes on what day . [SEP],[CLS] fancy. now they made an [MASK] on who can wear the shoes on what day . [SEP]
open_class,high,air,fan,listen,"[CLS] once he had purchased it , he raised his arms in the [MASK] in excitement . [SEP]","[CLS] fan. once he had purchased it , he raised his arms in the [MASK] in excitement . [SEP]","[CLS] listen. once he had purchased it , he raised his arms in the [MASK] in excitement . [SEP]"
open_class,high,air,cool,guest,"[CLS] once he had purchased it , he raised his arms in the [MASK] in excitement . [SEP]","[CLS] cool. once he had purchased it , he raised his arms in the [MASK] in excitement . [SEP]","[CLS] guest. once he had purchased it , he raised his arms in the [MASK] in excitement . [SEP]"
open_class,low,air,fan,listen,[CLS] the [MASK] got very difficult to breathe . [SEP],[CLS] fan. the [MASK] got very difficult to breathe . [SEP],[CLS] listen. the [MASK] got very difficult to breathe . [SEP]
open_class,low,air,cool,guest,[CLS] the [MASK] got very difficult to breathe . [SEP],[CLS] cool. the [MASK] got very difficult to breathe . [SEP],[CLS] guest. the [MASK] got very difficult to breathe . [SEP]
open_class,low,airplane,flying,essay,[CLS] i then saw a [MASK] fly into the second building . [SEP],[CLS] flying. i then saw a [MASK] fly into the second building . [SEP],[CLS] essay. i then saw a [MASK] fly into the second building . [SEP]
open_class,low,airplane,fly,bedroom,[CLS] i then saw a [MASK] fly into the second building . [SEP],[CLS] fly. i then saw a [MASK] fly into the second building . [SEP],[CLS] bedroom. i then saw a [MASK] fly into the second building . [SEP]
open_class,high,airplane,flying,essay,"[CLS] when sam stepped out the [MASK] , his family was there . [SEP]","[CLS] flying. when sam stepped out the [MASK] , his family was there . [SEP]","[CLS] essay. when sam stepped out the [MASK] , his family was there . [SEP]"
open_class,high,airplane,fly,bedroom,"[CLS] when sam stepped out the [MASK] , his family was there . [SEP]","[CLS] fly. when sam stepped out the [MASK] , his family was there . [SEP]","[CLS] bedroom. when sam stepped out the [MASK] , his family was there . [SEP]"
open_class,high,alcohol,drunk,pepperoni,[CLS] i ran to mom and she hosed me down and poured [MASK] all over . [SEP],[CLS] drunk. i ran to mom and she hosed me down and poured [MASK] all over . [SEP],[CLS] pepperoni. i ran to mom and she hosed me down and poured [MASK] all over . [SEP]
open_class,high,alcohol,bartender,once,[CLS] i ran to mom and she hosed me down and poured [MASK] all over . [SEP],[CLS] bartender. i ran to mom and she hosed me down and poured [MASK] all over . [SEP],[CLS] once. i ran to mom and she hosed me down and poured [MASK] all over . [SEP]
open_class,low,alcohol,drunk,pepperoni,[CLS] i told her that the extract was almost pure [MASK] . [SEP],[CLS] drunk. i told her that the extract was almost pure [MASK] . [SEP],[CLS] pepperoni. i told her that the extract was almost pure [MASK] . [SEP]
open_class,low,alcohol,bartender,once,[CLS] i told her that the extract was almost pure [MASK] . [SEP],[CLS] bartender. i told her that the extract was almost pure [MASK] . [SEP],[CLS] once. i told her that the extract was almost pure [MASK] . [SEP]
open_class,high,alert,awareness,reappear,"[CLS] i received a late delivery [MASK] , and was worried . [SEP]","[CLS] awareness. i received a late delivery [MASK] , and was worried . [SEP]","[CLS] reappear. i received a late delivery [MASK] , and was worried . [SEP]"
open_class,high,alert,notify,distinct,"[CLS] i received a late delivery [MASK] , and was worried . [SEP]","[CLS] notify. i received a late delivery [MASK] , and was worried . [SEP]","[CLS] distinct. i received a late delivery [MASK] , and was worried . [SEP]"
open_class,low,alert,awareness,reappear,"[CLS] just as she gets to the desk , she receives an [MASK] on her phone . [SEP]","[CLS] awareness. just as she gets to the desk , she receives an [MASK] on her phone . [SEP]","[CLS] reappear. just as she gets to the desk , she receives an [MASK] on her phone . [SEP]"
open_class,low,alert,notify,distinct,"[CLS] just as she gets to the desk , she receives an [MASK] on her phone . [SEP]","[CLS] notify. just as she gets to the desk , she receives an [MASK] on her phone . [SEP]","[CLS] distinct. just as she gets to the desk , she receives an [MASK] on her phone . [SEP]"
open_class,high,alive,dead,cuss,[CLS] and i miss those times when everything felt [MASK] again . [SEP],[CLS] dead. and i miss those times when everything felt [MASK] again . [SEP],[CLS] cuss. and i miss those times when everything felt [MASK] again . [SEP]
open_class,high,alive,disbelief,wife,[CLS] and i miss those times when everything felt [MASK] again . [SEP],[CLS] disbelief. and i miss those times when everything felt [MASK] again . [SEP],[CLS] wife. and i miss those times when everything felt [MASK] again . [SEP]
open_class,low,alive,dead,cuss,"[CLS] as john floated down to earth , he felt more [MASK] than ever before . [SEP]","[CLS] dead. as john floated down to earth , he felt more [MASK] than ever before . [SEP]","[CLS] cuss. as john floated down to earth , he felt more [MASK] than ever before . [SEP]"
open_class,low,alive,disbelief,wife,"[CLS] as john floated down to earth , he felt more [MASK] than ever before . [SEP]","[CLS] disbelief. as john floated down to earth , he felt more [MASK] than ever before . [SEP]","[CLS] wife. as john floated down to earth , he felt more [MASK] than ever before . [SEP]"
open_class,high,alligator,crocodile,lost,[CLS] emilio decided to adopt the [MASK] . [SEP],[CLS] crocodile. emilio decided to adopt the [MASK] . [SEP],[CLS] lost. emilio decided to adopt the [MASK] . [SEP]
open_class,high,alligator,swamp,confess,[CLS] emilio decided to adopt the [MASK] . [SEP],[CLS] swamp. emilio decided to adopt the [MASK] . [SEP],[CLS] confess. emilio decided to adopt the [MASK] . [SEP]
open_class,low,alligator,crocodile,lost,[CLS] billy tried to disturb the [MASK] . [SEP],[CLS] crocodile. billy tried to disturb the [MASK] . [SEP],[CLS] lost. billy tried to disturb the [MASK] . [SEP]
open_class,low,alligator,swamp,confess,[CLS] billy tried to disturb the [MASK] . [SEP],[CLS] swamp. billy tried to disturb the [MASK] . [SEP],[CLS] confess. billy tried to disturb the [MASK] . [SEP]
open_class,low,allow,disallow,army,[CLS] tara never used social media as her parents did not [MASK] it . [SEP],[CLS] disallow. tara never used social media as her parents did not [MASK] it . [SEP],[CLS] army. tara never used social media as her parents did not [MASK] it . [SEP]
open_class,low,allow,grant,candy,[CLS] tara never used social media as her parents did not [MASK] it . [SEP],[CLS] grant. tara never used social media as her parents did not [MASK] it . [SEP],[CLS] candy. tara never used social media as her parents did not [MASK] it . [SEP]
open_class,high,allow,disallow,army,[CLS] they would not [MASK] me to cash them without it . [SEP],[CLS] disallow. they would not [MASK] me to cash them without it . [SEP],[CLS] army. they would not [MASK] me to cash them without it . [SEP]
open_class,high,allow,grant,candy,[CLS] they would not [MASK] me to cash them without it . [SEP],[CLS] grant. they would not [MASK] me to cash them without it . [SEP],[CLS] candy. they would not [MASK] me to cash them without it . [SEP]
open_class,high,alone,lonely,middle,[CLS] carl lived all [MASK] in a big house . [SEP],[CLS] lonely. carl lived all [MASK] in a big house . [SEP],[CLS] middle. carl lived all [MASK] in a big house . [SEP]
open_class,high,alone,apart,super,[CLS] carl lived all [MASK] in a big house . [SEP],[CLS] apart. carl lived all [MASK] in a big house . [SEP],[CLS] super. carl lived all [MASK] in a big house . [SEP]
open_class,low,alone,lonely,middle,[CLS] she would cry when she was [MASK] . [SEP],[CLS] lonely. she would cry when she was [MASK] . [SEP],[CLS] middle. she would cry when she was [MASK] . [SEP]
open_class,low,alone,apart,super,[CLS] she would cry when she was [MASK] . [SEP],[CLS] apart. she would cry when she was [MASK] . [SEP],[CLS] super. she would cry when she was [MASK] . [SEP]
open_class,high,alright,okay,hopeless,[CLS] it tasted [MASK] but made a lot of people sick . [SEP],[CLS] okay. it tasted [MASK] but made a lot of people sick . [SEP],[CLS] hopeless. it tasted [MASK] but made a lot of people sick . [SEP]
open_class,high,alright,mediocre,hinge,[CLS] it tasted [MASK] but made a lot of people sick . [SEP],[CLS] mediocre. it tasted [MASK] but made a lot of people sick . [SEP],[CLS] hinge. it tasted [MASK] but made a lot of people sick . [SEP]
open_class,low,alright,okay,hopeless,[CLS] amber 's mom told her that it was not [MASK] to be a bully . [SEP],[CLS] okay. amber 's mom told her that it was not [MASK] to be a bully . [SEP],[CLS] hopeless. amber 's mom told her that it was not [MASK] to be a bully . [SEP]
open_class,low,alright,mediocre,hinge,[CLS] amber 's mom told her that it was not [MASK] to be a bully . [SEP],[CLS] mediocre. amber 's mom told her that it was not [MASK] to be a bully . [SEP],[CLS] hinge. amber 's mom told her that it was not [MASK] to be a bully . [SEP]
open_class,low,aluminum,foil,jail,"[CLS] tom left all of his glass , [MASK] , and plastic in his garage . [SEP]","[CLS] foil. tom left all of his glass , [MASK] , and plastic in his garage . [SEP]","[CLS] jail. tom left all of his glass , [MASK] , and plastic in his garage . [SEP]"
open_class,low,aluminum,lead,sentence,"[CLS] tom left all of his glass , [MASK] , and plastic in his garage . [SEP]","[CLS] lead. tom left all of his glass , [MASK] , and plastic in his garage . [SEP]","[CLS] sentence. tom left all of his glass , [MASK] , and plastic in his garage . [SEP]"
open_class,high,aluminum,foil,jail,[CLS] she decided to buy cardboard boxes and [MASK] foil . [SEP],[CLS] foil. she decided to buy cardboard boxes and [MASK] foil . [SEP],[CLS] jail. she decided to buy cardboard boxes and [MASK] foil . [SEP]
open_class,high,aluminum,lead,sentence,[CLS] she decided to buy cardboard boxes and [MASK] foil . [SEP],[CLS] lead. she decided to buy cardboard boxes and [MASK] foil . [SEP],[CLS] sentence. she decided to buy cardboard boxes and [MASK] foil . [SEP]
open_class,high,ambulance,emergency,introvert,[CLS] they took him to the hospital in an [MASK] . [SEP],[CLS] emergency. they took him to the hospital in an [MASK] . [SEP],[CLS] introvert. they took him to the hospital in an [MASK] . [SEP]
open_class,high,ambulance,rescue,cape,[CLS] they took him to the hospital in an [MASK] . [SEP],[CLS] rescue. they took him to the hospital in an [MASK] . [SEP],[CLS] cape. they took him to the hospital in an [MASK] . [SEP]
